H;V;PM
4.836;0.852;27.908
-5.084;0.928;28.313
5.112;0.785;29.135
-4.855;0.670;30.339
4.799;0.736;30.401
4.849;0.673;33.540
-4.854;0.727;33.545
-4.850;0.708;34.334
4.855;0.607;34.326
5.052;1.128;37.959
-5.123;0.987;37.964
4.827;0.674;40.732
-4.863;0.741;40.743
4.870;0.773;47.134
-4.861;0.727;47.138
-2.613;-0.785;5.061
-2.522;1.144;5.062
-0.029;2.566;4.906
2.665;-0.737;5.082
-3.818;1.376;16.178
-2.473;3.282;16.258
0.143;3.993;16.238
4.007;0.814;16.077
-5.055;0.592;24.428
-3.284;3.926;24.436
-0.262;5.063;24.370
3.119;3.910;24.425
5.125;0.545;24.417
-4.869;1.147;47.586
-3.264;3.888;47.662
-0.250;5.081;47.635
3.357;3.885;47.515
4.957;1.134;47.627
-4.970;1.180;50.313
4.929;0.993;31.985
-4.960;1.100;33.601
5.004;1.160;49.500
