# Configuration des axes pour projection multi-axes
# Format: axe,PM,X,Y,Z
# Minimum 2 points par axe requis
axe,PM,X,Y,Z
# Galerie GVA3
GVA3,0.0000,823067.6690,1091433.6070,-122.482
GVA3,164.3880,823216.6580,1091503.0820,-123.899
GVA3,222.9680,823269.7490,1091527.8390,-123.313
GVA3,232.9688,823278.8130,1091532.0650,-123.213
# Galerie GER2-S4 (Gis 72.22g, Pente +1.0%)
GER2-S4,92.4020,823110.3100,1091689.1550,-123.4310
GER2-S4,202.3800,823209.9860,1091735.6350,-122.3312
# Galerie GER2-HA (Gis 72.22g, Pente +1.0%)
GER2-HA,92.4000,823110.0972,1091689.6082,-123.3810
GER2-HA,192.7660,823201.0581,1091732.0271,-122.3523
# Galerie GER2-S3 (Gis 72.22g, Pente +0.94%)
GER2-S3,92.4000,823110.3100,1091689.1550,-123.5800
GER2-S3,195.2670,823203.5377,1091732.6281,-122.5510
# Galerie GET2 (Gis 172.22g, 11 points de cassure altitude)
GET2,0.0000,823077.5190,1091540.6840,-124.3050
GET2,5.3200,823079.7673,1091535.8624,-124.2530
GET2,5.8700,823079.9998,1091535.3640,-124.2050
GET2,15.4220,823084.0367,1091526.7069,-124.1090
GET2,15.8900,823084.2345,1091526.2828,-124.3650
GET2,37.1750,823093.2300,1091506.9920,-124.1540
GET2,37.7250,823093.4624,1091506.4935,-124.0380
GET2,50.0100,823098.6543,1091495.3596,-123.9170
GET2,50.4900,823098.8572,1091494.9245,-123.7520
GET2,66.5900,823105.6614,1091480.3330,-123.5920
GET2,76.5900,823109.8876,1091471.2699,-123.4920
# Galerie GGS (Gis 272.22g, 6 points de cassure, PK négatif au début)
GGS,-16.6020,823077.4983,1091438.1914,-122.4930
GGS,0.0000,823062.4518,1091431.1751,-122.3270
GGS,11.2790,823052.2296,1091426.4084,-122.2142
GGS,19.0580,823045.1794,1091423.1208,-121.1275
GGS,75.9540,822993.6142,1091399.0756,-120.5584
GGS,85.9530,822984.5520,1091394.8498,-120.4584
# Galerie GHA (Gis 72.22g, 7 points de cassure, PK négatif au début)
GHA,-20.0000,823250.9240,1091519.0590,-123.5200
GHA,0.0000,823269.0499,1091527.5119,-123.3190
GHA,0.4200,823269.4305,1091527.6895,-123.3150
GHA,4.6500,823273.2642,1091529.4773,-122.7230
GHA,5.4000,823273.9439,1091529.7942,-122.7150
GHA,37.5800,823303.1085,1091543.3950,-122.3920
GHA,100.0000,823359.6794,1091569.7767,-121.7690
# Galerie GMA (Gis 372.22g, 6 points, cassure brutale PK 9.829->9.830)
GMA,-12.9610,823266.0950,1091515.1010,-123.4040
GMA,-2.9610,823261.8688,1091524.1641,-123.4040
GMA,0.0000,823260.6175,1091526.8477,-123.3770
GMA,9.8290,823256.4636,1091535.7558,-123.2790
GMA,9.8300,823256.4631,1091535.7567,-123.3290
GMA,58.0780,823236.0727,1091579.4844,-122.8460
# Galerie GRE (Gis 172.22g, 4 points, cassure brutale PK 9.720->9.721)
GRE,0.0000,823241.1410,1091511.2310,-123.6440
GRE,9.7200,823245.2488,1091502.4217,-123.5470
GRE,9.7210,823245.2492,1091502.4208,-123.6970
GRE,156.6010,823307.3230,1091369.3018,-122.2800
# Galerie GTB (Gis 272.22g, 7 points, PK négatif au début, pentes variables)
GTB,-100.0000,866016.697,2446858.629,-123.361
GTB,-2.9610,866016.697,2446791.590,-123.509
GTB,0.0000,866016.697,2446788.629,-123.479
GTB,10.2500,866016.697,2446778.379,-123.377
GTB,15.3440,866016.697,2446773.285,-122.208
GTB,29.9600,866016.697,2446758.669,-122.062
GTB,100.0000,866016.697,2446688.629,-121.361
