PM,X,Y,Z
10.000000,823245.367369,1091502.168458,-123.694088
10.250000,823245.473017,1091501.941892,-123.691588
10.500000,823245.578665,1091501.715326,-123.689088
10.750000,823245.684313,1091501.488759,-123.686588
11.000000,823245.789961,1091501.262193,-123.684088
11.250000,823245.895609,1091501.035627,-123.681588
11.500000,823246.001257,1091500.809061,-123.679088
11.750000,823246.106905,1091500.582494,-123.676588
12.000000,823246.212553,1091500.355928,-123.674088
12.250000,823246.318201,1091500.129362,-123.671588
12.500000,823246.423849,1091499.902796,-123.669088
12.750000,823246.529497,1091499.676230,-123.666588
13.000000,823246.635145,1091499.449663,-123.664088
13.250000,823246.740793,1091499.223097,-123.661588
13.500000,823246.846441,1091498.996531,-123.659088
13.750000,823246.952089,1091498.769965,-123.656588
14.000000,823247.057737,1091498.543399,-123.654088
14.250000,823247.163385,1091498.316832,-123.651588
14.500000,823247.269033,1091498.090266,-123.649088
14.750000,823247.374681,1091497.863700,-123.646588
15.000000,823247.480329,1091497.637134,-123.644088
15.250000,823247.585977,1091497.410567,-123.641588
15.500000,823247.691625,1091497.184001,-123.639088
15.750000,823247.797273,1091496.957435,-123.636588
16.000000,823247.902921,1091496.730869,-123.634088
16.250000,823248.008569,1091496.504303,-123.631588
16.500000,823248.114217,1091496.277736,-123.629088
16.750000,823248.219865,1091496.051170,-123.626588
17.000000,823248.325513,1091495.824604,-123.624088
17.250000,823248.431161,1091495.598038,-123.621588
17.500000,823248.536809,1091495.371472,-123.619088
17.750000,823248.642457,1091495.144905,-123.616588
18.000000,823248.748105,1091494.918339,-123.614088
18.250000,823248.853753,1091494.691773,-123.611588
18.500000,823248.959401,1091494.465207,-123.609088
18.750000,823249.065049,1091494.238640,-123.606588
19.000000,823249.170697,1091494.012074,-123.604088
19.250000,823249.276345,1091493.785508,-123.601588
19.500000,823249.381993,1091493.558942,-123.599088
19.750000,823249.487641,1091493.332376,-123.596588
20.000000,823249.593289,1091493.105809,-123.594088
20.250000,823249.698937,1091492.879243,-123.591588
20.500000,823249.804585,1091492.652677,-123.589088
20.750000,823249.910233,1091492.426111,-123.586588
21.000000,823250.015881,1091492.199544,-123.584088
21.250000,823250.121529,1091491.972978,-123.581588
21.500000,823250.227177,1091491.746412,-123.579088
21.750000,823250.332825,1091491.519846,-123.576587
22.000000,823250.438473,1091491.293280,-123.574087
22.250000,823250.544121,1091491.066713,-123.571587
22.500000,823250.649769,1091490.840147,-123.569087
22.750000,823250.755417,1091490.613581,-123.566587
23.000000,823250.861065,1091490.387015,-123.564087
23.250000,823250.966713,1091490.160449,-123.561587
23.500000,823251.072361,1091489.933882,-123.559087
23.750000,823251.178009,1091489.707316,-123.556587
24.000000,823251.283657,1091489.480750,-123.554087
24.250000,823251.389305,1091489.254184,-123.551587
24.500000,823251.494953,1091489.027617,-123.549087
24.750000,823251.600601,1091488.801051,-123.546587
25.000000,823251.706249,1091488.574485,-123.544087
25.250000,823251.811897,1091488.347919,-123.541587
25.500000,823251.917545,1091488.121353,-123.539087
25.750000,823252.023193,1091487.894786,-123.536587
26.000000,823252.128841,1091487.668220,-123.534087
26.250000,823252.234489,1091487.441654,-123.531587
26.500000,823252.340137,1091487.215088,-123.529087
26.750000,823252.445785,1091486.988521,-123.526587
27.000000,823252.551433,1091486.761955,-123.524087
27.250000,823252.657081,1091486.535389,-123.521587
27.500000,823252.762729,1091486.308823,-123.519087
27.750000,823252.868377,1091486.082257,-123.516587
28.000000,823252.974025,1091485.855690,-123.514087
28.250000,823253.079673,1091485.629124,-123.511587
28.500000,823253.185321,1091485.402558,-123.509087
28.750000,823253.290969,1091485.175992,-123.506587
29.000000,823253.396617,1091484.949426,-123.504087
29.250000,823253.502265,1091484.722859,-123.501587
29.500000,823253.607913,1091484.496293,-123.499087
29.750000,823253.713561,1091484.269727,-123.496587
30.000000,823253.819209,1091484.043161,-123.494087
30.250000,823253.924857,1091483.816594,-123.491587
30.500000,823254.030505,1091483.590028,-123.489087
30.750000,823254.136153,1091483.363462,-123.486587
31.000000,823254.241801,1091483.136896,-123.484087
31.250000,823254.347449,1091482.910330,-123.481587
31.500000,823254.453097,1091482.683763,-123.479087
31.750000,823254.558745,1091482.457197,-123.476587
