========================================================================================================================
RAPPORT DES POINTS MOYENNÉS
========================================================================================================================

Total de points moyennés : 67

------------------------------------------------------------------------------------------------------------------------
Point                          Nb    X moyen          Y moyen          Z moyen          Écart XY (mm)   Écart Z (mm)   
------------------------------------------------------------------------------------------------------------------------
006.GVA.2G                     4       823071.381480   1091438.095971      -122.626385             1.2             0.4
011.GVA.2G                     4       823075.934307   1091440.243497      -122.650083             0.9             0.4
03.GGS.10D                     5       823059.961192   1091432.808967      -122.506802             2.4             0.7
03.GGS.10G                     5       823062.131619   1091428.219175      -122.477429             0.7             0.3
10.GGS.10G                     5       823055.785057   1091425.268352      -122.323465             2.5             0.9
14.GGS.10G                     5       823052.884567   1091424.156744      -121.201203             0.6             0.5
14.GGS.8D                      4       823050.924119   1091428.358506      -121.125856             0.9             0.4
19.GG.10G                      3       823049.761469   1091421.261825      -120.510668             1.2             0.6
26.GGS.8D                      4       823041.604609   1091426.764694      -120.338774             1.8             0.1
31.GGS.10G                     3       823042.074445   1091416.331344      -120.211345             0.7             1.3
31.GGS.11D                     3       823038.000219   1091425.061780      -120.161117             1.4             3.1
35.GGS.6D                      3       823035.114577   1091423.764001      -120.187362             3.3             0.4
38.GGS.10G                     3       823037.007083   1091413.953486      -120.344607             1.1             2.6
38.GGS.8D                      3       823032.871141   1091422.675987      -120.278118             2.4             1.1
43.GGS.5G                      3       823033.383873   1091412.269095      -120.267415             2.3             0.6
43.GGS.6D                      3       823029.289797   1091421.067577      -120.367922             3.1             6.9
51.GGS.4D                      4       823023.495565   1091418.336038      -120.236826             3.9             1.8
51.GGS.4G                      3       823027.581155   1091409.548677      -120.170447             3.8             1.4
59GGS.2D                       4       823017.675568   1091415.669110      -120.073711             2.5             0.7
59GGS.2G                       3       823021.784907   1091406.848305      -120.120259             1.6             2.3
C.188.GRD.2G                   3       823066.091830   1091436.603871      -122.478683             0.5             0.2
C.195.GRD.1                    2       823063.325500   1091430.343000      -121.861000             0.5             0.0
C.198.GRD.2                    3       823064.962843   1091438.948765      -122.202239             0.5             0.3
C.202GRD.1G                    3       823060.105106   1091449.215321      -122.407517             2.2             0.1
C.401.GVA.2                    3       823069.434521   1091437.426537      -122.667193             0.4             0.1
C.402.GVA.2                    3       823072.595231   1091432.925291      -122.496137             0.7             0.0
C.403.GRD.2                    3       823070.854290   1091426.319035      -122.505929             0.8             0.2
C.404.GRD.2                    3       823072.094949   1091423.589367      -122.688875             0.8             1.0
C.405.GRD.3                    3       823066.023569   1091424.114710      -122.511791             0.6             0.2
C.408.GRD.2                    3       823063.918278   1091440.919260      -122.227215             0.7             0.7
C525                           3       823018.953085   1091405.408414      -119.634929             0.0             0.0
C527                           3       823031.379594   1091422.125434      -120.005077             0.0             0.0
C528                           3       823034.095476   1091412.479245      -119.881767             0.0             0.0
C586                           3       823015.475174   1091414.790948      -119.662959             0.0             0.0
GRD.1001                       2       823066.457543   1091436.184566      -123.119902             0.0             0.0
GRD.1007                       2       823068.879748   1091431.021788      -123.012489             0.0             0.0
GVA.C137                       3       823060.144391   1091436.698434      -122.407736             0.0             0.0
GVA.C195                       3       823068.787583   1091430.966533      -121.922676             0.0             0.0
REF_1101                       3       823066.456717   1091436.184869      -123.120015             1.2             0.0
REF_1107                       3       823068.879317   1091431.021351      -123.012995             0.9             0.0
S2                             3       823045.875472   1091423.045573      -119.962436             0.5             0.3
S601                           3       823021.382177   1091406.651996      -119.695356             0.0             0.0
S602                           3       823020.634920   1091408.073862      -116.953414             0.0             0.0
S603                           3       823019.385580   1091410.816957      -115.760646             0.0             0.0
S604                           3       823017.970355   1091414.136540      -116.957784             0.0             0.0
S605                           3       823017.192090   1091415.538586      -119.707867             0.0             0.0
T38D                           3       823032.909752   1091422.588069      -120.287200             0.0             0.0
T43D                           3       823029.329041   1091420.977829      -120.378913             0.0             0.0
T43G                           3       823033.343020   1091412.356484      -120.282536             0.0             0.0
T48D                           3       823025.954583   1091419.621727      -119.832703             0.0             0.0
T51D                           3       823023.541307   1091418.250784      -120.250104             0.0             0.0
T51G                           3       823027.542315   1091409.637851      -120.185191             0.0             0.0
T59D                           3       823017.714863   1091415.581206      -120.086729             0.0             0.0
T59G                           3       823021.755368   1091406.939768      -120.127930             0.0             0.0
ref_S071                       3       823058.969370   1091426.668387      -123.060744             0.5             0.3
ref_S072                       3       823058.929881   1091426.750206      -121.131905             0.2             0.1
ref_S073                       3       823058.018066   1091429.075545      -119.712084             2.5             2.1
ref_S075                       3       823056.719522   1091431.442547      -123.013253             0.9             0.1
ref_S201                       3       823049.403346   1091420.877883      -120.154367             1.7             1.6
ref_S202                       3       823048.761763   1091422.063448      -118.236673             1.5             2.2
ref_S203                       3       823047.675313   1091424.441977      -117.527970             1.1             4.4
ref_S205                       3       823046.188416   1091428.012120      -120.729879             2.2             1.2
ref_S311                       3       823042.449012   1091416.269863      -120.481572             2.9             2.6
ref_S312                       3       823041.693109   1091417.871572      -117.147825             1.6             2.8
ref_S313                       3       823040.475851   1091420.639426      -116.011074             1.7             3.1
ref_S314                       3       823038.997280   1091423.678748      -117.163998             1.9             3.0
ref_S315                       3       823038.156930   1091425.500885      -120.528944             4.0             4.2
------------------------------------------------------------------------------------------------------------------------
