#Nom du point;Est ;Nord;Hauteur;PM Tunnel;PM 3D;Coordonnée X/L;Coordonnée Y/H ;Valeur de déviation;Remarque;Unnamed: 10;Angle (degres)
1;823283.340603;1091528.57314;-122.988765171;13.4001052121;13.4007752006;5.07818254092;-0.353766222667;0.140490001873;;;86.01498822683773
2;823283.327422;1091528.61124;-122.674545979;13.4042631262;13.4049333226;5.03807843541;-0.0395886098754;0.088233974256;;;89.54978597337654
3;823283.333583;1091528.56852;-122.382853968;13.3917898337;13.3924594064;5.07940459973;0.252228133711;0.135663193646;;;87.15719698253636
4;823283.306812;1091528.64502;-122.074812266;13.3998623136;13.4005322899;4.99875160686;0.560189110509;0.080042690338;;;83.60578121235808
5;823283.274101;1091528.70209;-121.77139369;13.39433459;13.39500429;4.93321040321;0.863662963925;0.0582410682419;;;80.0697974433695
6;823283.262914;1091528.73146;-121.473019845;13.3966124398;13.3972822537;4.90185763668;1.16201403101;0.0877063132472;;;76.66387307552019
7;823283.230766;1091528.76998;-121.171230375;13.3837545654;13.3844237364;4.85336358932;1.46393207904;0.119342685413;;;73.21498334388887
8;823283.200861;1091528.85888;-120.879557536;13.3942271188;13.3948968135;4.7601528661;1.75550019254;0.123542769566;;;69.7564938479298
9;823283.154485;1091528.96365;-120.595444582;13.3964762793;13.3971460864;4.64560026976;2.039590655;0.123611327881;;;66.29674573836878
10;823283.110492;1091529.07118;-120.305934314;13.4020514205;13.4027215064;4.52955715941;2.32904517167;0.143264127457;;;62.78830383276157
11;823283.04437;1091529.1963;-120.036314803;13.395010769;13.3956805028;4.38820736784;2.59873508933;0.149979212477;;;59.36560871427976
12;823282.931897;1091529.41805;-119.805626407;13.3867976457;13.3874669689;4.13970452561;2.82950561655;0.0643050957658;;;55.64722767706848
13;823282.866782;1091529.59459;-119.55140773;13.402399412;13.4030695152;3.95218415909;3.08356827552;0.062798912498;;;52.03797663338
14;823282.78912;1091529.75843;-119.31017753;13.4012587045;13.4019287507;3.77087758915;3.32480988323;0.0773132538142;;;48.597143875208246
15;823282.700873;1091529.92006;-119.06889773;13.3895946503;13.3902641133;3.58709443129;3.56620632368;0.108169036522;;;45.167306960445465
16;823282.625839;1091530.09324;-118.837524006;13.3947838932;13.3954536156;3.39843318017;3.79752815517;0.146132667959;;;41.825572751259294
17;823282.511706;1091530.27605;-118.616001572;13.3686135345;13.3692819484;3.18450816521;4.01931229312;0.177959005679;;;38.38984695423871
18;823282.421236;1091530.4948;-118.416707462;13.3790736119;13.3797425488;2.94802314243;4.21850180222;0.196513179195;;;34.947073515173216
19;823282.297844;1091530.73288;-118.237120549;13.3678688576;13.3685372343;2.68009894628;4.39820076236;0.200446612464;;;31.356566134455434
20;823282.21276;1091530.96659;-118.056444264;13.3895341696;13.3902036296;2.43232995042;4.57866039442;0.234627276394;;;27.978660610312378
21;823282.082154;1091531.28425;-117.967988219;13.4054257613;13.4060960158;2.08923325809;4.66695752364;0.163256118574;;;24.116389021790752
22;823281.977281;1091531.50503;-117.785136254;13.4036894557;13.4043596234;1.8448234173;4.84982685144;0.238852852985;;;20.826291410006217
23;823281.868113;1091531.77658;-117.67874615;13.4195219877;13.420192947;1.5525783174;4.95605862987;0.243555292317;;;17.3941435532935
24;823281.746451;1091532.06923;-117.60967283;13.432947379;13.4336190095;1.2359324148;5.02499769607;0.224759006893;;;13.818006227367466
25;823281.616595;1091532.35206;-117.55225779;13.4347973046;13.4354690276;0.924720690109;5.08239423712;0.21583386649;;;10.311928725872827
