Fichier;Cible;X;Y;Z
01-GVA-PM 169_Tableau_Jour-22-12-20b;Point bas gauche;823219.549;1091508.557;-124.993
01-GVA-PM 169_Tableau_Jour-22-12-20b;Point haut gauche;823219.606;1091507.994;-120.874
01-GVA-PM 169_Tableau_Jour-22-12-20b;Point centre haut;823220.856;1091504.785;-119.528
01-GVA-PM 169_Tableau_Jour-22-12-20b;Point haut droit;823222.337;1091502.183;-120.872
01-GVA-PM 169_Tableau_Jour-22-12-20b;Point intermédiaire droit;823222.746;1091501.282;-123.002
01-GVA-PM 169_Tableau_Jour-22-12-20b;Point bas droit;823222.663;1091501.608;-124.918
02-GVA-PM 170_Renfort_Tableau_Jour-22-12-20b;Point intermédiaire gauche;823220.687;1091507.844;-122.343
02-GVA-PM 170_Renfort_Tableau_Jour-22-12-20b;Point centre haut;823222.261;1091505.253;-120.421
02-GVA-PM 170_Renfort_Tableau_Jour-22-12-20b;Point haut droit;823222.773;1091504.690;-121.109
02-GVA-PM 170_Renfort_Tableau_Jour-22-12-20b;Point intermédiaire droit;823223.177;1091503.201;-122.232
04_B_GVA3_PM_183.9_Tableau_Jour_23_03-28;Point bas gauche;823233.377;1091513.555;-124.581
04_B_GVA3_PM_183.9_Tableau_Jour_23_03-28;Point intermédiaire gauche;823233.251;1091513.757;-123.416
04_B_GVA3_PM_183.9_Tableau_Jour_23_03-28;Point haut gauche;;;
04_B_GVA3_PM_183.9_Tableau_Jour_23_03-28;Point centre haut;823234.439;1091511.107;-121.330
04_B_GVA3_PM_183.9_Tableau_Jour_23_03-28;Point haut droit;;;
04_B_GVA3_PM_183.9_Tableau_Jour_23_03-28;Point intermédiaire droit;823235.479;1091508.903;-123.454
04_B_GVA3_PM_183.9_Tableau_Jour_23_03-28;Point bas droit;823235.406;1091509.044;-124.624
05_B_GVA3_PM_196.1_Tableau_Jour_24-02-09;Point bas gauche;823244.334;1091518.773;-124.544
05_B_GVA3_PM_196.1_Tableau_Jour_24-02-09;Point intermédiaire gauche;823244.243;1091518.765;-123.616
05_B_GVA3_PM_196.1_Tableau_Jour_24-02-09;Point haut gauche;;;
05_B_GVA3_PM_196.1_Tableau_Jour_24-02-09;Point centre haut;823245.508;1091516.065;-121.292
05_B_GVA3_PM_196.1_Tableau_Jour_24-02-09;Point haut droit;;;
05_B_GVA3_PM_196.1_Tableau_Jour_24-02-09;Point intermédiaire droit;;;
05_B_GVA3_PM_196.1_Tableau_Jour_24-02-09;Point bas droit;823246.463;1091514.193;-124.581
30-GVA-PM 158_Tableau_Jour-21-12-20b;Point bas gauche;823209.967;1091504.158;-125.007
30-GVA-PM 158_Tableau_Jour-21-12-20b;Point intermédiaire gauche;823209.735;1091504.325;-123.636
30-GVA-PM 158_Tableau_Jour-21-12-20b;Point haut gauche;823210.194;1091503.433;-121.103
30-GVA-PM 158_Tableau_Jour-21-12-20b;Point centre haut;823211.708;1091500.174;-119.617
30-GVA-PM 158_Tableau_Jour-21-12-20b;Point haut droit;823212.794;1091497.751;-121.077
30-GVA-PM 158_Tableau_Jour-21-12-20b;Point intermédiaire droit;823213.212;1091497.001;-123.650
30-GVA-PM 158_Tableau_Jour-21-12-20b;Point bas droit;823213.175;1091497.227;-125.036
