source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm,Convergences,GER,T92,2025-09,BG,-1.53,-61.77,2025-09-10,2025-06-17,2025-09-10,1,99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm,Convergences,GER,T92,2025-09,HG,,-33.81,,2024-05-27,2024-05-27,1,99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm,Convergences,GER,T92,2025-09,HD,-0.94,-25.33,2025-09-10,2025-06-17,2025-09-10,1,99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm,Convergences,GER,T92,2025-09,BD,-0.27,-54.27,2025-09-10,2025-06-17,2025-09-10,1,99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm,Convergences,GER,T92,2025-09,LH,,-24.04,,2024-05-27,2024-05-27,1,99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm,Convergences,GER,T92,2025-09,LB,0.29,-34.6,2025-09-10,2025-06-17,2025-09-10,1,99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_45-B-GER-SMC1-T109-PM_120-25-09-10.xlsm,Convergences,GER,T109,2025-09,BG,-0.38,-38.41,2025-09-08,2025-06-18,2025-09-08,1,82
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_45-B-GER-SMC1-T109-PM_120-25-09-10.xlsm,Convergences,GER,T109,2025-09,HG,-0.22,-26.84,2025-09-08,2025-06-18,2025-09-08,1,82
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_45-B-GER-SMC1-T109-PM_120-25-09-10.xlsm,Convergences,GER,T109,2025-09,HD,-0.2,-34.54,2025-09-08,2025-06-18,2025-09-08,1,82
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_45-B-GER-SMC1-T109-PM_120-25-09-10.xlsm,Convergences,GER,T109,2025-09,BD,,-42.79,,2024-04-30,2024-04-30,1,82
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_45-B-GER-SMC1-T109-PM_120-25-09-10.xlsm,Convergences,GER,T109,2025-09,LH,-0.07,-25.06,2025-09-08,2025-06-18,2025-09-08,1,82
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_45-B-GER-SMC1-T109-PM_120-25-09-10.xlsm,Convergences,GER,T109,2025-09,LB,,-25.95,,2024-04-30,2024-04-30,1,82
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_46-B-GER-SMC1-T131-PM_138-25-09-08.xlsm,Convergences,GER,T131,2025-09,BG,-1.25,-38.74,2025-09-08,2025-06-18,2025-09-08,1,73
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_46-B-GER-SMC1-T131-PM_138-25-09-08.xlsm,Convergences,GER,T131,2025-09,HG,-0.09,-22.92,2025-09-08,2025-06-18,2025-09-08,1,73
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_46-B-GER-SMC1-T131-PM_138-25-09-08.xlsm,Convergences,GER,T131,2025-09,HD,-0.31,-25.71,2025-09-08,2025-06-18,2025-09-08,1,73
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_46-B-GER-SMC1-T131-PM_138-25-09-08.xlsm,Convergences,GER,T131,2025-09,BD,-0.54,-37.46,2025-09-08,2025-06-18,2025-09-08,1,73
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_46-B-GER-SMC1-T131-PM_138-25-09-08.xlsm,Convergences,GER,T131,2025-09,LH,0.06,-26.55,2025-09-08,2025-06-18,2025-09-08,1,73
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_46-B-GER-SMC1-T131-PM_138-25-09-08.xlsm,Convergences,GER,T131,2025-09,LB,-1.2,-33.25,2025-09-08,2025-06-18,2025-09-08,1,73
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm,Convergences,GER,T163,2025-09,BG,-0.96,-34.31,2025-09-08,2025-06-18,2025-09-08,1,40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm,Convergences,GER,T163,2025-09,HG,-0.4,-24.24,2025-09-08,2025-06-18,2025-09-08,1,40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm,Convergences,GER,T163,2025-09,HD,-0.7,-28.91,2025-09-08,2025-06-18,2025-09-08,1,40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm,Convergences,GER,T163,2025-09,BD,-0.77,-34.94,2025-09-08,2025-06-18,2025-09-08,1,40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm,Convergences,GER,T163,2025-09,LH,-0.64,-22.03,2025-09-08,2025-06-18,2025-09-08,1,40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm,Convergences,GER,T163,2025-09,LB,-0.87,-15.25,2025-09-08,2025-06-18,2025-09-08,1,40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm,Convergences,GVA,C001,2025-09,BG,0.97,1.24,2025-09-10,2025-06-17,2025-09-10,1,37
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm,Convergences,GVA,C001,2025-09,HG,0.74,0.57,2025-09-10,2025-06-17,2025-09-10,1,37
