source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Convergences,GGS,C003,2025-08,BG,-0.65,-13.18,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Convergences,GGS,C003,2025-08,HG,-0.23,-6.22,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Convergences,GGS,C003,2025-08,HD,,-3.96,,2025-02-24,2025-02-24,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Convergences,GGS,C003,2025-08,BD,-1.28,-16.35,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Convergences,GGS,C003,2025-08,LH,,-7.94,,2025-02-24,2025-02-24,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Convergences,GGS,C003,2025-08,LB,-0.27,-17.22,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Convergences,GGS,C007,2025-08,BG,-1.11,-35.04,2025-08-25,2025-07-29,2025-08-25,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Convergences,GGS,C007,2025-08,HG,-0.11,-30.44,2025-08-25,2025-07-29,2025-08-25,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Convergences,GGS,C007,2025-08,HD,,-9.72,,2025-02-24,2025-02-24,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Convergences,GGS,C007,2025-08,BD,-1.65,-7.96,2025-08-25,2025-07-29,2025-08-25,2,47
