source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DPM bas gauche,-1.26,-9.38,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DH bas gauche,-0.37,8.76,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DZ bas gauche,-0.3,0.0,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DPM haut gauche,-1.61,-7.69,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DH haut gauche,-0.09,6.79,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DZ haut gauche,-0.8,-9.0,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DPM centre haut,-1.66,-4.19,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DH centre haut,-0.22,0.47,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DZ centre haut,-1.2,-10.5,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DPM haut droit,,-6.26,,2025-02-24,2025-02-24,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DH haut droit,,-3.14,,2025-02-24,2025-02-24,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DZ haut droit,,-7.1,,2025-02-24,2025-02-24,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DPM bas droit,-1.58,-7.66,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DH bas droit,-0.63,-8.43,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,DZ bas droit,0.1,3.4,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,"DZ centre haut x2
(interpolé)",-2.4,-21.0,2025-08-25,2025-07-29,2025-08-25,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_08-25.xlsm,Déplacements,GGS,C003,2025-08,VITESSE EVOL DZ,,,,,,2,55
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Déplacements,GGS,C007,2025-08,DPM bas gauche,-1.02,-6.3,2025-08-25,2025-07-29,2025-08-25,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Déplacements,GGS,C007,2025-08,DH bas gauche,0.3,11.63,2025-08-25,2025-07-29,2025-08-25,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Déplacements,GGS,C007,2025-08,DZ bas gauche,-0.1,0.5,2025-08-25,2025-07-29,2025-08-25,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Déplacements,GGS,C007,2025-08,DPM haut gauche,-1.03,-2.05,2025-08-25,2025-07-29,2025-08-25,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Déplacements,GGS,C007,2025-08,DH haut gauche,-0.15,8.53,2025-08-25,2025-07-29,2025-08-25,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Déplacements,GGS,C007,2025-08,DZ haut gauche,-0.5,-4.3,2025-08-25,2025-07-29,2025-08-25,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Déplacements,GGS,C007,2025-08,DPM centre haut,-1.56,-11.07,2025-08-25,2025-07-29,2025-08-25,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Déplacements,GGS,C007,2025-08,DH centre haut,0.27,-17.08,2025-08-25,2025-07-29,2025-08-25,2,47
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_08_25.xlsm,Déplacements,GGS,C007,2025-08,DZ centre haut,-1.5,-21.85,2025-08-25,2025-07-29,2025-08-25,2,47
