galerie;section;type;mode;BG;IG;HG;HD;ID;BD;LH;LI;LB;;;BG;HG;HD;BD;LH;LB
GER;T109;Convergences;périodique;-0.4;;-0.2;-0.2;;;-0.1;;;;;-0.4;-0.2;-0.2;0.0;-0.1;0.0
GER;T109;Convergences;cumulé;-38.4;;-26.8;-34.5;;-42.8;-25.1;;-26.0;;;-38.4;-26.8;-34.5;-42.8;-25.1;-26.0
GER;T131;Convergences;périodique;-1.3;;-0.1;-0.3;;-0.5;0.1;;-1.2;;;-1.3;-0.1;-0.3;-0.5;0.1;-1.2
GER;T131;Convergences;cumulé;-38.7;;-22.9;-25.7;;-37.5;-26.6;;-33.3;;;-38.7;-22.9;-25.7;-37.5;-26.6;-33.3
GER;T163;Convergences;périodique;-1.0;;-0.4;-0.7;;-0.8;-0.6;;-0.9;;;-1.0;-0.4;-0.7;-0.8;-0.6;-0.9
GER;T163;Convergences;cumulé;-34.3;;-24.2;-28.9;;-34.9;-22.0;;-15.3;;;-34.3;-24.2;-28.9;-34.9;-22.0;-15.3
GER;T92;Convergences;périodique;-1.5;;;-0.9;;-0.3;;;0.3;;;-1.5;0.0;-0.9;-0.3;0.0;0.3
GER;T92;Convergences;cumulé;-61.8;;-33.8;-25.3;;-54.3;-24.0;;-34.6;;;-61.8;-33.8;-25.3;-54.3;-24.0;-34.6
GGS;C003;Convergences;périodique;-1.1;;-0.4;;;-0.4;;;-0.4;;;-1.1;-0.4;0.0;-0.4;0.0;-0.4
GGS;C003;Convergences;cumulé;-14.2;;-6.6;-4.0;;-16.7;-7.9;;-17.6;;;-14.2;-6.6;-4.0;-16.7;-7.9;-17.6
GGS;C007;Convergences;périodique;-1.1;;0.7;;;-3.3;;;-1.3;;;-1.1;0.7;0.0;-3.3;0.0;-1.3
GGS;C007;Convergences;cumulé;-36.2;;-29.8;-9.7;;-11.3;-10.6;;-26.5;;;-36.2;-29.8;-9.7;-11.3;-10.6;-26.5
GGS;C020;Convergences;périodique;;-2.4;-1.2;;-4.6;;;-3.3;;;;0.0;-1.2;0.0;0.0;0.0;0.0
GGS;C020;Convergences;cumulé;0.0;-38.6;-19.3;-35.0;-54.0;0.0;-19.9;-31.6;0.0;;;0.0;-19.3;-35.0;0.0;-19.9;0.0
GGS;C031;Convergences;périodique;;-5.8;-1.6;-4.0;-3.1;;-5.4;-15.0;;;;0.0;-1.6;-4.0;0.0;-5.4;0.0
GGS;C031;Convergences;cumulé;0.0;-21.5;-6.2;-12.0;-14.3;0.0;-16.9;-47.8;0.0;;;0.0;-6.2;-12.0;0.0;-16.9;0.0
GHA;C04;Convergences;périodique;-1.0;-1.1;-1.1;-0.1;-0.7;;-0.3;0.2;;;;-1.0;-1.1;-0.1;0.0;-0.3;0.0
GHA;C04;Convergences;cumulé;-9.0;-53.7;-38.6;-32.0;-57.5;0.2;-30.0;-36.6;-2.9;;;-9.0;-38.6;-32.0;0.2;-30.0;-2.9
GHA;T15;Convergences;périodique;-1.3;-1.0;-0.8;-0.8;-0.9;-1.2;-0.9;-0.1;-0.7;;;-1.3;-0.8;-0.8;-1.2;-0.9;-0.7
GHA;T15;Convergences;cumulé;-20.1;-52.6;-37.9;-37.2;-79.2;-8.3;-31.0;-60.0;-1.4;;;-20.1;-37.9;-37.2;-8.3;-31.0;-1.4
GHA;T28;Convergences;périodique;-1.4;-0.7;0.2;-0.5;-0.9;-1.4;0.5;0.0;-1.3;;;-1.4;0.2;-0.5;-1.4;0.5;-1.3
GHA;T28;Convergences;cumulé;-2.9;-37.9;-10.2;-33.1;-54.3;-3.4;-19.8;-63.1;-2.8;;;-2.9;-10.2;-33.1;-3.4;-19.8;-2.8
GHA;T41;Convergences;périodique;;;-0.6;-1.2;;;-1.3;;;;;0.0;-0.6;-1.2;0.0;-1.3;0.0
GHA;T41;Convergences;cumulé;0.0;-22.2;-11.6;-7.6;-18.8;0.0;-10.8;-28.5;0.0;;;0.0;-11.6;-7.6;0.0;-10.8;0.0
GRD;C105;Convergences;périodique;3.4;;4.6;-5.8;;-4.2;-0.5;;-2.1;;;3.4;4.6;-5.8;-4.2;-0.5;-2.1
GRD;C105;Convergences;cumulé;0.0;;5.8;-11.0;;-10.1;-4.4;;-7.0;;;0.0;5.8;-11.0;-10.1;-4.4;-7.0
GRD;C116;Convergences;périodique;-0.8;;;-0.3;;-0.3;;;-0.3;;;-0.8;0.0;-0.3;-0.3;0.0;-0.3
GRD;C116;Convergences;cumulé;-11.8;;-1.4;1.2;;-5.1;-4.2;;-7.3;;;-11.8;-1.4;1.2;-5.1;-4.2;-7.3
GVA;C001;Convergences;périodique;1.0;;0.7;-1.6;;-2.0;-0.8;;-0.7;;;1.0;0.7;-1.6;-2.0;-0.8;-0.7
GVA;C001;Convergences;cumulé;1.2;;0.6;-2.5;;-2.9;-1.7;;-1.5;;;1.2;0.6;-2.5;-2.9;-1.7;-1.5
GVA;C105;Convergences;périodique;-1.3;;-1.0;-0.5;;-4.3;-0.3;;-1.0;;;-1.3;-1.0;-0.5;-4.3;-0.3;-1.0
GVA;C105;Convergences;cumulé;-13.0;;-45.9;-46.2;;-16.0;-24.4;;-7.1;;;-13.0;-45.9;-46.2;-16.0;-24.4;-7.1
