galerie,section,type,mode,BG,IG,HG,HD,ID,BD,LH,LI,LB
GER,T109,Convergences,périodique,-0.38,,-0.22,-0.2,,,-0.07,,
GER,T109,Convergences,cumulé,-38.41,,-26.84,-34.54,,-42.79,-25.06,,-25.95
GER,T131,Convergences,périodique,-1.25,,-0.09,-0.31,,-0.54,0.06,,-1.2
GER,T131,Convergences,cumulé,-38.74,,-22.92,-25.71,,-37.46,-26.55,,-33.25
GER,T163,Convergences,périodique,-0.96,,-0.4,-0.7,,-0.77,-0.64,,-0.87
GER,T163,Convergences,cumulé,-34.31,,-24.24,-28.91,,-34.94,-22.03,,-15.25
GER,T92,Convergences,périodique,-1.53,,,-0.94,,-0.27,,,0.29
GER,T92,Convergences,cumulé,-61.77,,-33.81,-25.33,,-54.27,-24.04,,-34.6
GGS,C003,Convergences,périodique,-1.06,,-0.42,,,-0.35,,,-0.37
GGS,C003,Convergences,cumulé,-14.24,,-6.64,-3.96,,-16.7,-7.94,,-17.58
GGS,C007,Convergences,périodique,-1.12,,0.68,,,-3.33,,,-1.3
GGS,C007,Convergences,cumulé,-36.15,,-29.76,-9.72,,-11.28,-10.64,,-26.46
GGS,C020,Convergences,périodique,,-2.39,-1.19,,-4.55,,,-3.3,
GGS,C020,Convergences,cumulé,0.0,-38.58,-19.31,-35.0,-53.95,0.0,-19.88,-31.55,0.0
GGS,C031,Convergences,périodique,,-5.8,-1.56,-3.99,-3.07,,-5.42,-14.99,
GGS,C031,Convergences,cumulé,0.0,-21.46,-6.15,-12.01,-14.32,0.0,-16.85,-47.75,0.0
GHA,C04,Convergences,périodique,-0.97,-1.1,-1.12,-0.09,-0.74,,-0.31,0.23,
GHA,C04,Convergences,cumulé,-8.97,-53.69,-38.58,-31.99,-57.45,0.24,-29.95,-36.57,-2.87
GHA,T15,Convergences,périodique,-1.31,-1.01,-0.79,-0.82,-0.91,-1.2,-0.87,-0.08,-0.67
GHA,T15,Convergences,cumulé,-20.1,-52.55,-37.9,-37.18,-79.2,-8.3,-31.02,-59.99,-1.44
GHA,T28,Convergences,périodique,-1.36,-0.73,0.19,-0.52,-0.85,-1.39,0.49,0.02,-1.34
GHA,T28,Convergences,cumulé,-2.93,-37.86,-10.2,-33.14,-54.33,-3.42,-19.81,-63.08,-2.75
GHA,T41,Convergences,périodique,,,-0.55,-1.24,,,-1.25,,
GHA,T41,Convergences,cumulé,0.0,-22.17,-11.63,-7.56,-18.84,0.0,-10.75,-28.51,0.0
GRD,C105,Convergences,périodique,3.44,,4.57,-5.75,,-4.18,-0.46,,-2.11
GRD,C105,Convergences,cumulé,-0.01,,5.75,-10.97,,-10.09,-4.44,,-6.98
GRD,C116,Convergences,périodique,-0.79,,,-0.31,,-0.27,,,-0.33
GRD,C116,Convergences,cumulé,-11.76,,-1.41,1.23,,-5.14,-4.18,,-7.33
GVA,C001,Convergences,périodique,0.97,,0.74,-1.6,,-1.98,-0.78,,-0.72
GVA,C001,Convergences,cumulé,1.24,,0.57,-2.54,,-2.93,-1.67,,-1.52
GVA,C105,Convergences,périodique,-1.28,,-0.98,-0.45,,-4.29,-0.28,,-1.04
GVA,C105,Convergences,cumulé,-12.95,,-45.85,-46.23,,-15.98,-24.39,,-7.08
