Repertoire;Ligne;AB;AC;AD;AE;AF;AG
01-double carrure;577;2025-03-26 00:00:00;CIN-GVA-CH0;A1202;823066.787;1091433.214;-119.665
01-double carrure;578;2025-03-26 00:00:00;CIN-GVA-CH;A1203;823067.470;1091433.494;-119.624
01-double carrure;579;2025-03-26 00:00:00;CAR-GGS-BG;A3001;823063.763;1091428.669;-123.192
01-double carrure;580;2025-03-26 00:00:00;CAR-GGS-IG;A3002;823063.832;1091428.873;-121.258
01-double carrure;581;2025-03-26 00:00:00;CAR-GGS-HG;A3003;823064.320;1091430.225;-119.905
01-double carrure;582;2025-03-26 00:00:00;CAR-GGS-PF;A3004;823064.169;1091432.053;-119.692
01-double carrure;583;2025-03-26 00:00:00;CAR-GGS-HD;A3005;823062.947;1091433.202;-119.899
01-double carrure;584;2025-03-26 00:00:00;CAR-GGS-ID;A3006;823061.563;1091433.721;-121.364
01-double carrure;585;2025-03-26 00:00:00;CAR-GGS-BD;A3007;823061.378;1091433.810;-123.253
01-double carrure;586;2025-03-26 00:00:00;CIN-GGS-CH;A3201;823062.860;1091431.461;-119.505
01-double carrure;587;2025-06-17 00:00:00;CAR-GVA-BG;1101;823066.457;1091436.186;-123.120
01-double carrure;588;2025-06-17 00:00:00;CAR-GVA-IG;1102;823066.324;1091435.785;-120.990
01-double carrure;589;2025-06-17 00:00:00;CAR-GVA-PF;1104;823066.351;1091432.319;-119.549
01-double carrure;590;2025-06-17 00:00:00;CAR-GVA-ID;1106;823068.757;1091431.220;-121.355
01-double carrure;591;2025-06-17 00:00:00;CAR-GVA-BD;1107;823068.880;1091431.022;-123.013
01-double carrure;592;2025-06-17 00:00:00;CIN-GVA-CH0;1202;823066.787;1091433.216;-119.666
01-double carrure;593;2025-06-17 00:00:00;CIN-GVA-CH;1203;823067.470;1091433.495;-119.625
01-double carrure;594;2025-06-17 00:00:00;CIN-GRD6-CH;1204;823066.259;1091430.058;-119.646
01-double carrure;595;2025-06-17 00:00:00;CIN-GGS-CH;1205;823062.862;1091431.463;-119.506
01-double carrure;596;2025-06-17 00:00:00;CAR-GGS-BG;3101;823063.764;1091428.671;-123.194
01-double carrure;597;2025-06-17 00:00:00;CAR-GGS-IG;3102;823063.833;1091428.877;-121.260
01-double carrure;598;2025-06-17 00:00:00;CAR-GGS-HG;3103;823064.321;1091430.227;-119.907
01-double carrure;599;2025-06-17 00:00:00;CAR-GGS-PF;3104;823064.171;1091432.055;-119.693
01-double carrure;600;2025-06-17 00:00:00;CAR-GGS-HD;3105;823062.948;1091433.204;-119.901
