Repertoire;Ligne;AB;AC;AD;AE;AF;AG
01-GVA105-106;214;23/07/2025 00:00;BD;D.S1055;823268.392;1091524.616;-124.761
01-GVA105-106;215;18/08/2025 00:00;BG;S105.1;823266.447;1091528.836;-124.686
01-GVA105-106;216;18/08/2025 00:00;HG;S105.2;823266.34;1091529.038;-123.096
01-GVA105-106;217;18/08/2025 00:00;CH;S105.3;823267.45;1091526.594;-121.004
01-GVA105-106;218;18/08/2025 00:00;HD;S105.4;823268.603;1091524.522;-123.035
01-GVA105-106;219;01/09/2025 00:00;BG;S105.1;823266.448;1091528.836;-124.685
01-GVA105-106;220;01/09/2025 00:00;HG;S105.2;823266.341;1091529.038;-123.095
01-GVA105-106;221;01/09/2025 00:00;CH;S105.3;823267.451;1091526.594;-121.004
01-GVA105-106;222;01/09/2025 00:00;HD;S105.4;823268.604;1091524.523;-123.036
01-GVA105-106;223;01/09/2025 00:00;BD;S105.5;823268.393;1091524.617;-124.761
;;;;;;;
02-GHA-04-05;372;06/08/2025 00:00;HG;S0043;823270.522;1091531.173;-120.536
02-GHA-04-05;373;06/08/2025 00:00;CH;S0044;823271.648;1091528.723;-119.426
02-GHA-04-05;374;06/08/2025 00:00;HD;S0045;823272.91;1091526.281;-120.405
02-GHA-04-05;375;06/08/2025 00:00;ID;S0046;823273.31;1091525.272;-122.52
02-GHA-04-05;376;18/08/2025 00:00;BG;S0041;823270.082;1091531.798;-124.855
02-GHA-04-05;377;18/08/2025 00:00;IG;S0042;823270.172;1091532.301;-122.593
02-GHA-04-05;378;18/08/2025 00:00;HG;S0043;823270.522;1091531.172;-120.537
02-GHA-04-05;379;18/08/2025 00:00;CH;S0044;823271.648;1091528.723;-119.427
02-GHA-04-05;380;18/08/2025 00:00;HD;S0045;823272.91;1091526.281;-120.405
02-GHA-04-05;381;18/08/2025 00:00;ID;S0046;823273.309;1091525.272;-122.521
;;;;;;;
03-GHA-T15;339;18/08/2025 00:00;HD;S0155;823280.142;1091529.044;-119.447
03-GHA-T15;340;18/08/2025 00:00;ID;S0156;823280.657;1091527.903;-122.402
03-GHA-T15;341;18/08/2025 00:00;BD;S0157;823280.128;1091528.257;-124.905
03-GHA-T15;342;01/09/2025 00:00;BG;S.15.1;823276.8;1091535.586;-124.812
03-GHA-T15;343;01/09/2025 00:00;IG;S.15.2;823276.84;1091536.271;-122.433
03-GHA-T15;344;01/09/2025 00:00;HG;S.15.3;823277.296;1091534.996;-119.546
03-GHA-T15;345;01/09/2025 00:00;CH;S.15.4;823278.795;1091532.04;-118.076
03-GHA-T15;346;01/09/2025 00:00;HD;S.15.5;823280.143;1091529.045;-119.447
03-GHA-T15;347;01/09/2025 00:00;ID;S.15.6;823280.659;1091527.903;-122.401
03-GHA-T15;348;01/09/2025 00:00;BD;S.15.7;823280.129;1091528.258;-124.904
;;;;;;;
04-GHA-T28;226;18/08/2025 00:00;HD;S0285;823289.462;1091533.548;-119.137
04-GHA-T28;227;18/08/2025 00:00;ID;S0286;823290.258;1091532.222;-122.318
04-GHA-T28;228;18/08/2025 00:00;BD;S0287;823290.124;1091532.826;-124.707
04-GHA-T28;229;01/09/2025 00:00;BG;S.028.1;823286.71;1091540.062;-124.796
04-GHA-T28;230;01/09/2025 00:00;IG;S.028.2;823286.344;1091540.73;-122.275
04-GHA-T28;231;01/09/2025 00:00;HG;S.028.3;823286.785;1091539.607;-119.309
04-GHA-T28;232;01/09/2025 00:00;CH;S.028.4;823288.168;1091536.196;-118.007
04-GHA-T28;233;01/09/2025 00:00;HD;S.028.5;823289.463;1091533.549;-119.136
04-GHA-T28;234;01/09/2025 00:00;ID;S.028.6;823290.258;1091532.223;-122.317
04-GHA-T28;235;01/09/2025 00:00;BD;S.028.7;823290.124;1091532.827;-124.707
;;;;;;;
05-GHA-T41;150;30/07/2025 00:00;HD;S0414;823298.572;1091538.237;-118.694
05-GHA-T41;151;06/08/2025 00:00;HG;S0412;823296.24;1091543.248;-118.724
05-GHA-T41;152;06/08/2025 00:00;CH;S0413;823297.412;1091540.757;-117.846
05-GHA-T41;153;06/08/2025 00:00;HD;S0414;823298.571;1091538.237;-118.694
05-GHA-T41;154;18/08/2025 00:00;HG;S0412;823296.24;1091543.248;-118.725
05-GHA-T41;155;18/08/2025 00:00;CH;S0413;823297.412;1091540.757;-117.847
05-GHA-T41;156;18/08/2025 00:00;HD;S0414;823298.571;1091538.237;-118.695
05-GHA-T41;157;01/09/2025 00:00;HG;S.041.1;823296.24;1091543.248;-118.724
05-GHA-T41;158;01/09/2025 00:00;CH;S.041.2;823297.413;1091540.758;-117.847
05-GHA-T41;159;01/09/2025 00:00;HD;S.041.3;823298.571;1091538.238;-118.694
