Repertoire;Ligne;AB;AC;AD;AE;AF;AG
01-double carrure;576;09/04/2025 00:00;CIN-GT7-CH;S1_A.1202;823019.149;1091537.34;-120.945
01-double carrure;577;09/04/2025 00:00;CIN-GRD3-CH;S1_A.1203;823017.567;1091534.513;-120.612
01-double carrure;578;09/04/2025 00:00;CIN-GTB-CH;S2_B.3101;823014.138;1091535.815;-120.671
01-double carrure;579;08/07/2025 00:00;CAR-GT7-BG;A1001;823017.832;1091540.722;-123.966
01-double carrure;580;08/07/2025 00:00;CAR-GT7-IG;A1002;823017.845;1091540.72;-123.403
01-double carrure;581;08/07/2025 00:00;CAR-GT7-HG;A1003;823017.495;1091539.737;-121.447
01-double carrure;582;08/07/2025 00:00;CAR-GT7-HD;A1005;823019.577;1091535.796;-121.764
01-double carrure;583;08/07/2025 00:00;CAR-GT7-ID;A1006;823020.035;1091535.515;-122.55
01-double carrure;584;08/07/2025 00:00;CAR-GT7-BD;A1007;823020.235;1091535.547;-123.644
01-double carrure;585;08/07/2025 00:00;CIN-GRD1-CH;A1201;823015.332;1091539.323;-120.681
01-double carrure;586;08/07/2025 00:00;CIN-GT7-CH;A1202;823019.149;1091537.339;-120.945
01-double carrure;587;08/07/2025 00:00;CIN-GRD3-CH;A1203;823017.568;1091534.513;-120.613
01-double carrure;588;08/07/2025 00:00;CIN-GTB-CH;A3101;823014.138;1091535.816;-120.671
01-double carrure;589;08/07/2025 00:00;CAR-GTB-BG;A3001;823015.049;1091533.109;-123.91
01-double carrure;590;08/07/2025 00:00;CAR-GTB-IG;A3002;823015.118;1091533.298;-122.593
01-double carrure;591;08/07/2025 00:00;CAR-GTB-HG;A3003;823015.39;1091533.975;-121.628
01-double carrure;592;08/07/2025 00:00;CAR-GTB-PF;A3004;823015.511;1091536.533;-120.867
01-double carrure;593;08/07/2025 00:00;CAR-GTB-HD;A3005;823013.618;1091537.94;-121.541
01-double carrure;594;08/07/2025 00:00;CAR-GTB-ID;A3006;823012.873;1091538.195;-122.521
01-double carrure;595;08/07/2025 00:00;CAR-GTB-BD;A3007;823012.674;1091538.26;-123.914
;;;;;;;
02-SMC carrefour - GRD2-T48;140;05/11/2024 00:00;HD;A.2102;823011.35;1091543.786;-121.779
02-SMC carrefour - GRD2-T48;141;05/11/2024 00:00;BD;A.2101;823010.777;1091543.453;-124.346
02-SMC carrefour - GRD2-T48;142;04/12/2024 00:00;BG;S1-A.2105;823014.899;1091545.296;-124.873
02-SMC carrefour - GRD2-T48;143;04/12/2024 00:00;HG;S1-A.2104;823014.978;1091545.588;-122.874
02-SMC carrefour - GRD2-T48;144;04/12/2024 00:00;CH;S1-A.2103;823013.263;1091544.763;-121.234
02-SMC carrefour - GRD2-T48;145;04/12/2024 00:00;HD;S1-A.2102;823011.35;1091543.785;-121.78
02-SMC carrefour - GRD2-T48;146;07/01/2025 00:00;BG;i_A.2105;823014.899;1091545.297;-124.873
02-SMC carrefour - GRD2-T48;147;07/01/2025 00:00;HG;i_A.2104;823014.978;1091545.589;-122.874
02-SMC carrefour - GRD2-T48;148;07/01/2025 00:00;CH;i_A.2103;823013.263;1091544.765;-121.233
02-SMC carrefour - GRD2-T48;149;07/01/2025 00:00;HD;i_A.2102;823011.35;1091543.786;-121.779
02-SMC carrefour - GRD2-T48;150;07/01/2025 00:00;BD;i_A.2101;823010.777;1091543.454;-124.345
02-SMC carrefour - GRD2-T48;151;09/04/2025 00:00;BD_ko;S2_B.2101_KO;823010.78;1091543.454;-124.352
02-SMC carrefour - GRD2-T48;152;09/04/2025 00:00;HD;S2_B.2102;823011.351;1091543.786;-121.78
02-SMC carrefour - GRD2-T48;153;09/04/2025 00:00;CH;S2_B.2103;823013.265;1091544.765;-121.234
02-SMC carrefour - GRD2-T48;154;09/04/2025 00:00;HG;S2_B.2104;823014.98;1091545.59;-122.875
02-SMC carrefour - GRD2-T48;155;08/07/2025 00:00;BG;A2105;823014.91;1091545.303;-124.963
02-SMC carrefour - GRD2-T48;156;08/07/2025 00:00;HG;A2104;823014.98;1091545.59;-122.875
02-SMC carrefour - GRD2-T48;157;08/07/2025 00:00;CH;A2103;823013.264;1091544.765;-121.234
02-SMC carrefour - GRD2-T48;158;08/07/2025 00:00;HD;A2102;823011.351;1091543.785;-121.78
02-SMC carrefour - GRD2-T48;159;08/07/2025 00:00;BD;A2101;823010.78;1091543.454;-124.352
;;;;;;;
03-SMC carrefour - GRD3-C52;146;04/12/2024 00:00;BG;S1-A.2201;823012.179;1091540.569;-123.933
03-SMC carrefour - GRD3-C52;147;04/12/2024 00:00;HG;S1-A.2202;823012.755;1091540.792;-121.575
03-SMC carrefour - GRD3-C52;148;04/12/2024 00:00;CH;S1-A.2203;823014.572;1091541.465;-120.996
03-SMC carrefour - GRD3-C52;149;04/12/2024 00:00;HD;S1-A.2204;823016.563;1091542.246;-122.84
03-SMC carrefour - GRD3-C52;150;04/12/2024 00:00;BD;S1-A.2205;823016.571;1091542.484;-123.944
03-SMC carrefour - GRD3-C52;151;07/01/2025 00:00;BG;i_A.2201;823012.179;1091540.569;-123.934
03-SMC carrefour - GRD3-C52;152;07/01/2025 00:00;HG;i_A.2202;823012.755;1091540.793;-121.575
03-SMC carrefour - GRD3-C52;153;07/01/2025 00:00;CH;i_A.2203;823014.573;1091541.466;-120.995
03-SMC carrefour - GRD3-C52;154;07/01/2025 00:00;HD;i_A.2204;823016.563;1091542.246;-122.839
03-SMC carrefour - GRD3-C52;155;07/01/2025 00:00;BD;i_A.2205;823016.571;1091542.485;-123.944
03-SMC carrefour - GRD3-C52;156;09/04/2025 00:00;BG;S1_A.2201;823012.18;1091540.569;-123.933
03-SMC carrefour - GRD3-C52;157;09/04/2025 00:00;HG;S1_A.2202;823012.756;1091540.793;-121.575
03-SMC carrefour - GRD3-C52;158;09/04/2025 00:00;HD;S1_A.2204;823016.564;1091542.246;-122.84
03-SMC carrefour - GRD3-C52;159;09/04/2025 00:00;BD;S1_A.2205;823016.572;1091542.484;-123.944
03-SMC carrefour - GRD3-C52;160;09/04/2025 00:00;CH;S2_B.2203;823014.574;1091541.466;-120.996
03-SMC carrefour - GRD3-C52;161;08/07/2025 00:00;BG;A2201;823012.181;1091540.569;-123.934
03-SMC carrefour - GRD3-C52;162;08/07/2025 00:00;HG;A2202;823012.757;1091540.793;-121.576
03-SMC carrefour - GRD3-C52;163;08/07/2025 00:00;CH;A2203;823014.574;1091541.465;-120.997
03-SMC carrefour - GRD3-C52;164;08/07/2025 00:00;HD;A2204;823016.565;1091542.246;-122.84
