Repertoire;Ligne;AB;AC;AD;AE;AF;AG
01-GVA105-106;209;09/07/2025 00:00;BD;S.105.5;823268.394;1091524.616;-124.762
01-GVA105-106;210;23/07/2025 00:00;BG;D.S1051;823266.447;1091528.835;-124.685
01-GVA105-106;211;23/07/2025 00:00;HG;D.S1052;823266.34;1091529.038;-123.095
01-GVA105-106;212;23/07/2025 00:00;CH;D.S1053;823267.451;1091526.594;-121.001
01-GVA105-106;213;23/07/2025 00:00;HD;D.S1054;823268.604;1091524.522;-123.035
01-GVA105-106;214;23/07/2025 00:00;BD;D.S1055;823268.392;1091524.616;-124.761
01-GVA105-106;215;18/08/2025 00:00;BG;S105.1;823266.447;1091528.836;-124.686
01-GVA105-106;216;18/08/2025 00:00;HG;S105.2;823266.34;1091529.038;-123.096
01-GVA105-106;217;18/08/2025 00:00;CH;S105.3;823267.45;1091526.594;-121.004
01-GVA105-106;218;18/08/2025 00:00;HD;S105.4;823268.603;1091524.522;-123.035
;;;;;;;
02-GHA-04-05;372;06/08/2025 00:00;HG;S0043;823270.522;1091531.173;-120.536
02-GHA-04-05;373;06/08/2025 00:00;CH;S0044;823271.648;1091528.723;-119.426
02-GHA-04-05;374;06/08/2025 00:00;HD;S0045;823272.91;1091526.281;-120.405
02-GHA-04-05;375;06/08/2025 00:00;ID;S0046;823273.31;1091525.272;-122.52
02-GHA-04-05;376;18/08/2025 00:00;BG;S0041;823270.082;1091531.798;-124.855
02-GHA-04-05;377;18/08/2025 00:00;IG;S0042;823270.172;1091532.301;-122.593
02-GHA-04-05;378;18/08/2025 00:00;HG;S0043;823270.522;1091531.172;-120.537
02-GHA-04-05;379;18/08/2025 00:00;CH;S0044;823271.648;1091528.723;-119.427
02-GHA-04-05;380;18/08/2025 00:00;HD;S0045;823272.91;1091526.281;-120.405
02-GHA-04-05;381;18/08/2025 00:00;ID;S0046;823273.309;1091525.272;-122.521
;;;;;;;
03-GHA-T15;332;06/08/2025 00:00;HD;S0155;823280.142;1091529.045;-119.447
03-GHA-T15;333;06/08/2025 00:00;ID;S0156;823280.658;1091527.903;-122.401
03-GHA-T15;334;06/08/2025 00:00;BD;S0157;823280.128;1091528.257;-124.905
03-GHA-T15;335;18/08/2025 00:00;BG;S0151;823276.799;1091535.585;-124.813
03-GHA-T15;336;18/08/2025 00:00;IG;S0152;823276.839;1091536.27;-122.433
03-GHA-T15;337;18/08/2025 00:00;HG;S0153;823277.296;1091534.996;-119.546
03-GHA-T15;338;18/08/2025 00:00;CH;S0154;823278.794;1091532.04;-118.076
03-GHA-T15;339;18/08/2025 00:00;HD;S0155;823280.142;1091529.044;-119.447
03-GHA-T15;340;18/08/2025 00:00;ID;S0156;823280.657;1091527.903;-122.402
03-GHA-T15;341;18/08/2025 00:00;BD;S0157;823280.128;1091528.257;-124.905
;;;;;;;
04-GHA-T28;219;06/08/2025 00:00;HD;S0285;823289.464;1091533.548;-119.136
04-GHA-T28;220;06/08/2025 00:00;ID;S0286;823290.259;1091532.222;-122.317
04-GHA-T28;221;06/08/2025 00:00;BD;S0287;823290.125;1091532.826;-124.707
04-GHA-T28;222;18/08/2025 00:00;BG;S0281;823286.71;1091540.061;-124.797
04-GHA-T28;223;18/08/2025 00:00;IG;S0282;823286.344;1091540.73;-122.275
04-GHA-T28;224;18/08/2025 00:00;HG;S0283;823286.785;1091539.607;-119.31
04-GHA-T28;225;18/08/2025 00:00;CH;S0284;823288.168;1091536.196;-118.006
04-GHA-T28;226;18/08/2025 00:00;HD;S0285;823289.462;1091533.548;-119.137
04-GHA-T28;227;18/08/2025 00:00;ID;S0286;823290.258;1091532.222;-122.318
04-GHA-T28;228;18/08/2025 00:00;BD;S0287;823290.124;1091532.826;-124.707
;;;;;;;
05-GHA-T41;147;23/07/2025 00:00;HD;S0414;823298.571;1091538.237;-118.693
05-GHA-T41;148;30/07/2025 00:00;HG;S0412;823296.24;1091543.248;-118.724
05-GHA-T41;149;30/07/2025 00:00;CH;S0413;823297.413;1091540.758;-117.846
05-GHA-T41;150;30/07/2025 00:00;HD;S0414;823298.572;1091538.237;-118.694
05-GHA-T41;151;06/08/2025 00:00;HG;S0412;823296.24;1091543.248;-118.724
05-GHA-T41;152;06/08/2025 00:00;CH;S0413;823297.412;1091540.757;-117.846
05-GHA-T41;153;06/08/2025 00:00;HD;S0414;823298.571;1091538.237;-118.694
05-GHA-T41;154;18/08/2025 00:00;HG;S0412;823296.24;1091543.248;-118.725
05-GHA-T41;155;18/08/2025 00:00;CH;S0413;823297.412;1091540.757;-117.847
05-GHA-T41;156;18/08/2025 00:00;HD;S0414;823298.571;1091538.237;-118.695
