Repertoire;Ligne;AB;AC;AD;AE;AF;AG
SMC 93;484;2025-01-14 00:00:00;CH;3-CH;823122.930;1091695.290;-120.635
SMC 93;485;2025-01-14 00:00:00;HD;4-HD;823124.092;1091693.052;-121.811
SMC 93;486;2025-03-26 00:00:00;BG;S0931;823122.072;1091697.417;-124.630
SMC 93;487;2025-03-26 00:00:00;CH;S0933;823122.929;1091695.289;-120.635
SMC 93;488;2025-03-26 00:00:00;HD;S0934;823124.091;1091693.051;-121.811
SMC 93;489;2025-03-26 00:00:00;BD;S0935;823124.141;1091692.868;-124.597
SMC 93;490;2025-06-17 00:00:00;BG;GER.S0931;823122.074;1091697.418;-124.631
SMC 93;491;2025-06-17 00:00:00;CH;GER.S0933;823122.931;1091695.290;-120.637
SMC 93;492;2025-06-17 00:00:00;HD;GER.S0934;823124.093;1091693.052;-121.812
SMC 93;493;2025-06-17 00:00:00;BD;GER.S0935;823124.144;1091692.868;-124.599
;;;;;;;
SMC 109;403;2025-01-14 00:00:00;CH;3-CH;823135.059;1091701.630;-120.203
SMC 109;404;2025-01-14 00:00:00;HD;4-HD;823136.296;1091698.760;-121.838
SMC 109;405;2025-03-26 00:00:00;BG;S1091;823133.884;1091703.891;-124.000
SMC 109;406;2025-03-26 00:00:00;HG;S1092;823134.031;1091703.777;-121.902
SMC 109;407;2025-03-26 00:00:00;CH;S1093;823135.059;1091701.630;-120.204
SMC 109;408;2025-03-26 00:00:00;HD;S1094;823136.297;1091698.760;-121.839
SMC 109;409;2025-06-18 00:00:00;BG;C.S1091;823133.884;1091703.890;-124.000
SMC 109;410;2025-06-18 00:00:00;HG;C.S1092;823134.031;1091703.777;-121.901
SMC 109;411;2025-06-18 00:00:00;CH;C.S1093;823135.059;1091701.629;-120.205
SMC 109;412;2025-06-18 00:00:00;HD;C.S1094;823136.295;1091698.760;-121.839
;;;;;;;
SMC 131;364;2025-03-26 00:00:00;BG;S1311;823149.956;1091711.377;-123.847
SMC 131;365;2025-03-26 00:00:00;HG;S1312;823150.004;1091711.295;-121.650
SMC 131;366;2025-03-26 00:00:00;CH;S1313;823151.300;1091708.444;-120.048
SMC 131;367;2025-03-26 00:00:00;HD;S1314;823152.215;1091706.297;-121.652
SMC 131;368;2025-03-26 00:00:00;BD;S1315;823152.325;1091706.281;-123.830
SMC 131;369;2025-06-18 00:00:00;BG;B.S1311;823149.958;1091711.377;-123.848
SMC 131;370;2025-06-18 00:00:00;HG;B.S1312;823150.003;1091711.293;-121.651
SMC 131;371;2025-06-18 00:00:00;CH;B.S1313;823151.299;1091708.443;-120.049
SMC 131;372;2025-06-18 00:00:00;HD;B.S1314;823152.214;1091706.296;-121.653
SMC 131;373;2025-06-18 00:00:00;BD;B.S1315;823152.325;1091706.281;-123.830
;;;;;;;
SMC 163;202;2025-03-26 00:00:00;BG;S1631;823173.138;1091721.024;-123.845
SMC 163;203;2025-03-26 00:00:00;HG;S1632;823173.148;1091720.910;-122.029
SMC 163;204;2025-03-26 00:00:00;CH;S1633;823174.033;1091718.837;-120.535
SMC 163;205;2025-03-26 00:00:00;HD;S1634;823175.032;1091716.888;-121.966
SMC 163;206;2025-03-26 00:00:00;BD;S1635;823175.108;1091716.767;-123.691
SMC 163;207;2025-06-18 00:00:00;BG;A.S1631;823173.138;1091721.024;-123.845
SMC 163;208;2025-06-18 00:00:00;HG;A.S1632;823173.147;1091720.910;-122.030
SMC 163;209;2025-06-18 00:00:00;CH;A.S1633;823174.032;1091718.837;-120.537
SMC 163;210;2025-06-18 00:00:00;HD;A.S1634;823175.032;1091716.888;-121.967
SMC 163;211;2025-06-18 00:00:00;BD;A.S1635;823175.108;1091716.768;-123.691
;;;;;;;
