Repertoire;Ligne;AB;AC;AD;AE;AF;AG
01-double carrure;590;2025-06-17 00:00:00;CAR-GVA-ID;1106;823068.757;1091431.220;-121.355
01-double carrure;591;2025-06-17 00:00:00;CAR-GVA-BD;1107;823068.880;1091431.022;-123.013
01-double carrure;592;2025-06-17 00:00:00;CIN-GVA-CH0;1202;823066.787;1091433.216;-119.666
01-double carrure;593;2025-06-17 00:00:00;CIN-GVA-CH;1203;823067.470;1091433.495;-119.625
01-double carrure;594;2025-06-17 00:00:00;CIN-GRD6-CH;1204;823066.259;1091430.058;-119.646
01-double carrure;595;2025-06-17 00:00:00;CIN-GGS-CH;1205;823062.862;1091431.463;-119.506
01-double carrure;596;2025-06-17 00:00:00;CAR-GGS-BG;3101;823063.764;1091428.671;-123.194
01-double carrure;597;2025-06-17 00:00:00;CAR-GGS-IG;3102;823063.833;1091428.877;-121.260
01-double carrure;598;2025-06-17 00:00:00;CAR-GGS-HG;3103;823064.321;1091430.227;-119.907
01-double carrure;599;2025-06-17 00:00:00;CAR-GGS-PF;3104;823064.171;1091432.055;-119.693
01-double carrure;600;2025-06-17 00:00:00;CAR-GGS-HD;3105;823062.948;1091433.204;-119.901
01-double carrure;601;2025-06-17 00:00:00;CAR-GGS-ID;3106;823061.566;1091433.722;-121.365
01-double carrure;602;2025-09-10 00:00:00;CAR-GVA-BG;A.1001;823066.457;1091436.188;-123.120
01-double carrure;603;2025-09-10 00:00:00;CAR-GVA-IG;A.1002;823066.324;1091435.786;-120.989
01-double carrure;604;2025-09-10 00:00:00;CAR-GVA-PF;A.1004;823066.351;1091432.318;-119.548
01-double carrure;605;2025-09-10 00:00:00;CAR-GVA-ID;A.1006;823068.755;1091431.220;-121.354
01-double carrure;606;2025-09-10 00:00:00;CAR-GVA-BD;A.1007;823068.877;1091431.023;-123.013
01-double carrure;607;2025-09-10 00:00:00;CAR-GGS-IG;A.3002;823063.832;1091428.874;-121.260
01-double carrure;608;2025-09-10 00:00:00;CAR-GGS-PF;A.3004;823064.171;1091432.055;-119.692
01-double carrure;609;2025-09-10 00:00:00;CAR-GGS-ID;A.3006;823061.567;1091433.721;-121.366
01-double carrure;610;2025-09-10 00:00:00;CAR-GGS-BD;A.3007;823061.382;1091433.810;-123.254
01-double carrure;611;2025-09-10 00:00:00;CIN-GVA-CH0;S.1202;823066.786;1091433.215;-119.666
01-double carrure;612;2025-09-10 00:00:00;CIN-GVA-CH;S.1203;823067.468;1091433.495;-119.626
01-double carrure;613;2025-09-10 00:00:00;CIN-GRD6-CH;S.1204;823066.257;1091430.058;-119.646
01-double carrure;614;2025-09-10 00:00:00;CIN-GGS-CH;A.1205;823062.860;1091431.460;-119.503
;;;;;;;
02-SMC carrefour - GRD5;165;2024-09-09 00:00:00;BD;5-BD;823065.638;1091437.052;-123.243
02-SMC carrefour - GRD5;166;2024-11-05 00:00:00;BG;1-BG;823061.131;1091434.813;-123.132
02-SMC carrefour - GRD5;167;2024-11-05 00:00:00;HG;2-HG;823062.167;1091435.373;-120.347
02-SMC carrefour - GRD5;168;2024-11-05 00:00:00;CH;3-CH;823063.420;1091435.897;-119.846
02-SMC carrefour - GRD5;169;2024-11-05 00:00:00;HD;4-HD;823064.792;1091436.666;-120.445
02-SMC carrefour - GRD5;170;2024-11-05 00:00:00;BD;5-BD;823065.639;1091437.054;-123.243
02-SMC carrefour - GRD5;171;2025-01-14 00:00:00;BG;1-BG;823061.132;1091434.813;-123.132
02-SMC carrefour - GRD5;172;2025-01-14 00:00:00;HG;2-HG;823062.168;1091435.372;-120.347
02-SMC carrefour - GRD5;173;2025-01-14 00:00:00;CH;3-CH;823063.421;1091435.897;-119.846
02-SMC carrefour - GRD5;174;2025-01-14 00:00:00;HD;4-HD;823064.793;1091436.666;-120.444
02-SMC carrefour - GRD5;175;2025-01-14 00:00:00;BD;5-BD;823065.640;1091437.054;-123.243
02-SMC carrefour - GRD5;176;2025-03-28 00:00:00;BG;A2101;823061.132;1091434.812;-123.132
02-SMC carrefour - GRD5;177;2025-03-28 00:00:00;HG;A2102;823062.167;1091435.372;-120.348
02-SMC carrefour - GRD5;178;2025-03-28 00:00:00;CH;A2103;823063.421;1091435.896;-119.847
02-SMC carrefour - GRD5;179;2025-03-28 00:00:00;HD;A2104;823064.792;1091436.667;-120.444
02-SMC carrefour - GRD5;180;2025-03-28 00:00:00;BD;A2105;823065.639;1091437.053;-123.243
02-SMC carrefour - GRD5;181;2025-06-17 00:00:00;HG;2102;823062.169;1091435.374;-120.349
02-SMC carrefour - GRD5;182;2025-06-17 00:00:00;CH;2103;823063.424;1091435.899;-119.848
02-SMC carrefour - GRD5;183;2025-06-17 00:00:00;HD;2104;823064.794;1091436.668;-120.445
02-SMC carrefour - GRD5;184;2025-06-17 00:00:00;BD;2105;823065.640;1091437.055;-123.243
02-SMC carrefour - GRD5;185;2025-09-10 00:00:00;BG;S.2101;823061.134;1091434.813;-123.133
02-SMC carrefour - GRD5;186;2025-09-10 00:00:00;HG;S.2102;823062.168;1091435.373;-120.348
02-SMC carrefour - GRD5;187;2025-09-10 00:00:00;CH;S.2103;823063.429;1091435.901;-119.848
02-SMC carrefour - GRD5;188;2025-09-10 00:00:00;HD;S.2104;823064.792;1091436.668;-120.445
02-SMC carrefour - GRD5;189;2025-09-10 00:00:00;BD;S.2105;823065.639;1091437.053;-123.243
;;;;;;;
03-SMC carrefour - GRD6;163;2024-07-08 00:00:00;HD;4-HD;823065.306;1091428.211;-120.395
03-SMC carrefour - GRD6;164;2024-07-08 00:00:00;BD;5-BD;823064.738;1091427.350;-123.196
03-SMC carrefour - GRD6;165;2024-09-09 00:00:00;BG;1-BG;823069.172;1091429.458;-123.258
03-SMC carrefour - GRD6;166;2024-09-09 00:00:00;HG;2-HG;823068.161;1091429.508;-120.478
03-SMC carrefour - GRD6;167;2024-09-09 00:00:00;CH;3-CH;823066.681;1091428.914;-119.820
03-SMC carrefour - GRD6;168;2024-09-09 00:00:00;HD;4-HD;823065.306;1091428.211;-120.396
03-SMC carrefour - GRD6;169;2024-09-09 00:00:00;BD;5-BD;823064.738;1091427.351;-123.196
03-SMC carrefour - GRD6;170;2024-11-05 00:00:00;BG;1-BG;823069.174;1091429.458;-123.258
03-SMC carrefour - GRD6;171;2024-11-05 00:00:00;HG;2-HG;823068.161;1091429.508;-120.479
03-SMC carrefour - GRD6;172;2024-11-05 00:00:00;CH;3-CH;823066.679;1091428.915;-119.821
03-SMC carrefour - GRD6;173;2024-11-05 00:00:00;HD;4-HD;823065.306;1091428.210;-120.395
03-SMC carrefour - GRD6;174;2024-11-05 00:00:00;BD;5-BD;823064.738;1091427.352;-123.196
03-SMC carrefour - GRD6;175;2025-01-14 00:00:00;BG;1-BG;823069.174;1091429.458;-123.258
03-SMC carrefour - GRD6;176;2025-01-14 00:00:00;HG;2-HG;823068.161;1091429.509;-120.479
03-SMC carrefour - GRD6;177;2025-01-14 00:00:00;CH;3-CH;823066.681;1091428.915;-119.821
03-SMC carrefour - GRD6;178;2025-01-14 00:00:00;HD;4-HD;823065.307;1091428.211;-120.396
03-SMC carrefour - GRD6;179;2025-01-14 00:00:00;BD;5-BD;823064.739;1091427.352;-123.195
03-SMC carrefour - GRD6;180;2025-06-17 00:00:00;BG;2301;823069.173;1091429.460;-123.258
03-SMC carrefour - GRD6;181;2025-06-17 00:00:00;CH;2303;823066.684;1091428.918;-119.822
03-SMC carrefour - GRD6;182;2025-06-17 00:00:00;HD;2304;823065.306;1091428.213;-120.396
03-SMC carrefour - GRD6;183;2025-06-17 00:00:00;BD;2305;823064.738;1091427.354;-123.196
03-SMC carrefour - GRD6;184;2025-09-10 00:00:00;BG;2301;823069.172;1091429.460;-123.258
03-SMC carrefour - GRD6;185;2025-09-10 00:00:00;CH;S.2303;823066.683;1091428.919;-119.822
03-SMC carrefour - GRD6;186;2025-09-10 00:00:00;HD;S.2304;823065.306;1091428.212;-120.396
03-SMC carrefour - GRD6;187;2025-09-10 00:00:00;BD;S.2305;823064.738;1091427.353;-123.195
;;;;;;;
04-SMC carrefour - GVA;166;2024-09-10 00:00:00;HD;4-HD;823069.475;1091432.361;-120.824
04-SMC carrefour - GVA;167;2024-09-10 00:00:00;BD;5-BD;823069.703;1091431.819;-123.154
04-SMC carrefour - GVA;168;2024-11-05 00:00:00;BG;1-BG;823067.631;1091436.289;-123.494
04-SMC carrefour - GVA;169;2024-11-05 00:00:00;HG;2-HG;823067.777;1091436.013;-121.076
04-SMC carrefour - GVA;170;2024-11-05 00:00:00;CH;3-CH;823068.567;1091434.256;-119.834
04-SMC carrefour - GVA;171;2024-11-05 00:00:00;HD;4-HD;823069.475;1091432.362;-120.823
04-SMC carrefour - GVA;172;2024-11-05 00:00:00;BD;5-BD;823069.702;1091431.819;-123.154
04-SMC carrefour - GVA;173;2025-01-14 00:00:00;BG;1-BG;823067.631;1091436.289;-123.494
04-SMC carrefour - GVA;174;2025-01-14 00:00:00;HG;2-HG;823067.778;1091436.013;-121.076
04-SMC carrefour - GVA;175;2025-01-14 00:00:00;CH;3-CH;823068.568;1091434.256;-119.834
04-SMC carrefour - GVA;176;2025-01-14 00:00:00;BD;5-BD;823069.704;1091431.819;-123.153
04-SMC carrefour - GVA;177;2025-03-28 00:00:00;BG;A2201;823067.630;1091436.289;-123.494
04-SMC carrefour - GVA;178;2025-03-28 00:00:00;HG;A2202;823067.777;1091436.012;-121.076
04-SMC carrefour - GVA;179;2025-03-28 00:00:00;CH;A2203;823068.567;1091434.255;-119.835
04-SMC carrefour - GVA;180;2025-03-28 00:00:00;BD;A2205;823069.704;1091431.818;-123.153
04-SMC carrefour - GVA;181;2025-06-17 00:00:00;BG;2201;823067.632;1091436.291;-123.495
04-SMC carrefour - GVA;182;2025-06-17 00:00:00;HG;2202;823067.778;1091436.014;-121.076
04-SMC carrefour - GVA;183;2025-06-17 00:00:00;CH;2203;823068.568;1091434.258;-119.834
04-SMC carrefour - GVA;184;2025-06-17 00:00:00;HD;2204;823069.475;1091432.363;-120.824
04-SMC carrefour - GVA;185;2025-06-17 00:00:00;BD;2205;823069.704;1091431.821;-123.154
04-SMC carrefour - GVA;186;2025-09-10 00:00:00;BG;S.2201;823067.632;1091436.292;-123.495
04-SMC carrefour - GVA;187;2025-09-10 00:00:00;HG;S.2202;823067.779;1091436.015;-121.075
04-SMC carrefour - GVA;188;2025-09-10 00:00:00;CH;S.2203;823068.568;1091434.257;-119.834
04-SMC carrefour - GVA;189;2025-09-10 00:00:00;HD;S.2204;823069.472;1091432.363;-120.825
04-SMC carrefour - GVA;190;2025-09-10 00:00:00;BD;S.2205;823069.701;1091431.821;-123.153
;;;;;;;
05-SMC Galerie S4 - GGS 03;288;2025-09-30 00:00:00;BD;S035;823060.270;1091433.030;-123.133
05-SMC Galerie S4 - GGS 03;289;2025-10-08 00:00:00;BG;S0031;823062.488;1091428.366;-123.061
05-SMC Galerie S4 - GGS 03;290;2025-10-08 00:00:00;HG;S0032;823062.040;1091429.240;-120.072
05-SMC Galerie S4 - GGS 03;291;2025-10-08 00:00:00;CH;S0033;823061.279;1091430.594;-119.688
05-SMC Galerie S4 - GGS 03;292;2025-10-08 00:00:00;BD;S0035;823060.270;1091433.030;-123.133
05-SMC Galerie S4 - GGS 03;293;2025-10-14 00:00:00;BG;S3.S031;823062.489;1091428.367;-123.061
05-SMC Galerie S4 - GGS 03;294;2025-10-14 00:00:00;HG;S3.S032;823062.040;1091429.240;-120.072
05-SMC Galerie S4 - GGS 03;295;2025-10-14 00:00:00;CH;S3.S033;823061.279;1091430.594;-119.688
05-SMC Galerie S4 - GGS 03;296;2025-10-14 00:00:00;BD;S3.S035;823060.270;1091433.030;-123.133
05-SMC Galerie S4 - GGS 03;297;2025-10-21 00:00:00;BG;S0031;823062.488;1091428.366;-123.061
05-SMC Galerie S4 - GGS 03;298;2025-10-21 00:00:00;HG;S0032;823062.040;1091429.241;-120.073
05-SMC Galerie S4 - GGS 03;299;2025-10-21 00:00:00;CH;S0033;823061.279;1091430.594;-119.689
05-SMC Galerie S4 - GGS 03;300;2025-10-21 00:00:00;BD;S0035;823060.270;1091433.030;-123.133
05-SMC Galerie S4 - GGS 03;301;2025-10-28 00:00:00;BG;S031;823062.488;1091428.366;-123.061
05-SMC Galerie S4 - GGS 03;302;2025-10-28 00:00:00;HG;S032;823062.040;1091429.241;-120.073
05-SMC Galerie S4 - GGS 03;303;2025-10-28 00:00:00;CH;S033;823061.279;1091430.594;-119.689
05-SMC Galerie S4 - GGS 03;304;2025-10-28 00:00:00;BD;S035;823060.270;1091433.029;-123.133
05-SMC Galerie S4 - GGS 03;305;2025-11-04 00:00:00;BG;S.0031;823062.489;1091428.366;-123.061
05-SMC Galerie S4 - GGS 03;306;2025-11-04 00:00:00;HG;S.0032;823062.039;1091429.240;-120.072
05-SMC Galerie S4 - GGS 03;307;2025-11-04 00:00:00;CH;S.0033;823061.279;1091430.594;-119.689
05-SMC Galerie S4 - GGS 03;308;2025-11-04 00:00:00;BD;S.0035;823060.270;1091433.030;-123.133
05-SMC Galerie S4 - GGS 03;309;2025-11-18 00:00:00;BG;S0031;823062.488;1091428.367;-123.061
05-SMC Galerie S4 - GGS 03;310;2025-11-18 00:00:00;HG;S0032;823062.039;1091429.240;-120.073
05-SMC Galerie S4 - GGS 03;311;2025-11-18 00:00:00;CH;S0033;823061.279;1091430.594;-119.690
05-SMC Galerie S4 - GGS 03;312;2025-11-18 00:00:00;BD;S0035;823060.270;1091433.030;-123.133
;;;;;;;
06-SMC Galerie S4 - GGS 07;253;2025-10-14 00:00:00;BG;S3.S071;823058.969;1091426.668;-123.061
06-SMC Galerie S4 - GGS 07;254;2025-10-14 00:00:00;HG;S3.S072;823058.930;1091426.750;-121.132
06-SMC Galerie S4 - GGS 07;255;2025-10-14 00:00:00;CH;S3.S073;823058.019;1091429.074;-119.711
06-SMC Galerie S4 - GGS 07;256;2025-10-14 00:00:00;BD;S3.S075;823056.720;1091431.443;-123.014
06-SMC Galerie S4 - GGS 07;257;2025-10-21 00:00:00;BG;S0071;823058.969;1091426.668;-123.061
06-SMC Galerie S4 - GGS 07;258;2025-10-21 00:00:00;HG;S0072;823058.930;1091426.751;-121.132
06-SMC Galerie S4 - GGS 07;259;2025-10-21 00:00:00;CH;S0073;823058.019;1091429.074;-119.711
06-SMC Galerie S4 - GGS 07;260;2025-10-21 00:00:00;BD;S0075;823056.720;1091431.443;-123.013
06-SMC Galerie S4 - GGS 07;261;2025-10-28 00:00:00;BG;S071;823058.969;1091426.668;-123.061
06-SMC Galerie S4 - GGS 07;262;2025-10-28 00:00:00;HG;S072;823058.929;1091426.750;-121.132
06-SMC Galerie S4 - GGS 07;263;2025-10-28 00:00:00;CH;S073;823058.019;1091429.075;-119.712
06-SMC Galerie S4 - GGS 07;264;2025-10-28 00:00:00;BD;S075;823056.719;1091431.442;-123.013
06-SMC Galerie S4 - GGS 07;265;2025-11-04 00:00:00;BG;S.0071;823058.969;1091426.668;-123.061
06-SMC Galerie S4 - GGS 07;266;2025-11-04 00:00:00;HG;S.0072;823058.930;1091426.750;-121.132
