#Nom du point;Est ;Nord;Hauteur;PM Tunnel;PM 3D;Coordonnée X/L;Coordonnée Y/H ;Valeur de déviation;Remarque;Unnamed: 10;Côté;th_X;th_Y;Écart_X;Écart_Y
1.000;823252.943;1091538.100;-124.289;13.431;13.432;-2.200;-0.996;0.265;;;Gauche;-1.903;-0.997;-0.297;0.001
2.000;823256.454;1091541.059;-124.277;14.629;14.630;2.233;-0.997;0.296;;;Droite;1.903;-0.997;0.330;0.000
3.000;823252.390;1091539.166;-124.279;14.631;14.632;-2.250;-0.998;0.312;;;Gauche;-1.903;-0.997;-0.347;-0.001
1.000;823254.850;1091544.396;-124.241;18.331;18.332;2.189;-0.997;0.256;;;Droite;1.903;-0.997;0.286;0.000
2.000;823253.357;1091547.672;-124.203;21.931;21.932;2.221;-0.996;0.284;;;Droite;1.903;-0.997;0.318;0.001
3.000;823253.356;1091547.669;-124.203;21.929;21.930;2.218;-0.995;0.281;;;Droite;1.903;-0.997;0.315;0.002
1.000;823249.317;1091545.790;-124.206;21.933;21.934;-2.236;-0.999;0.299;;;Gauche;-1.903;-0.997;-0.333;-0.002
2.000;823249.317;1091545.790;-124.206;21.933;21.934;-2.236;-0.999;0.299;;;Gauche;-1.903;-0.997;-0.333;-0.002
3.000;823250.862;1091542.533;-124.239;18.329;18.330;-2.212;-0.996;0.276;;;Gauche;-1.903;-0.997;-0.309;0.001
1.000;823247.761;1091549.032;-124.168;25.529;25.530;-2.276;-0.996;0.335;;;Gauche;-1.903;-0.997;-0.373;0.001
2.000;823247.761;1091549.032;-124.168;25.529;25.530;-2.276;-0.996;0.335;;;Gauche;-1.903;-0.997;-0.373;0.001
1.000;823247.761;1091549.032;-124.168;25.529;25.530;-2.276;-0.996;0.335;;;Gauche;-1.903;-0.997;-0.373;0.001
2.000;823251.844;1091550.939;-124.168;25.532;25.533;2.230;-0.997;0.293;;;Droite;1.903;-0.997;0.327;0.000
1.000;823250.889;1091552.921;-124.146;27.731;27.733;2.203;-0.996;0.267;;;Droite;1.903;-0.997;0.300;0.001
2.000;823246.900;1091551.056;-124.148;27.727;27.728;-2.201;-0.998;0.267;;;Gauche;-1.903;-0.997;-0.298;-0.001
1.000;823250.889;1091552.921;-124.146;27.731;27.733;2.203;-0.996;0.267;;;Droite;1.903;-0.997;0.300;0.001
1.000;823246.205;1091552.499;-124.130;29.329;29.330;-2.221;-0.996;0.284;;;Gauche;-1.903;-0.997;-0.318;0.001
2.000;823246.205;1091552.499;-124.130;29.329;29.330;-2.221;-0.997;0.284;;;Gauche;-1.903;-0.997;-0.318;0.000
3.000;823250.247;1091554.386;-124.130;29.330;29.332;2.240;-0.996;0.302;;;Droite;1.903;-0.997;0.337;0.001
4.000;823250.247;1091554.386;-124.130;29.330;29.332;2.240;-0.996;0.301;;;Droite;1.903;-0.997;0.337;0.001
1.000;823248.459;1091558.183;-124.087;33.528;33.529;2.224;-0.995;0.286;;;Droite;1.903;-0.997;0.321;0.002
2.000;823244.434;1091556.308;-124.089;33.529;33.530;-2.217;-0.998;0.281;;;Gauche;-1.903;-0.997;-0.314;-0.001
3.000;823244.683;1091555.764;-124.095;32.931;32.933;-2.221;-0.997;0.284;;;Gauche;-1.903;-0.997;-0.318;0.000
4.000;823244.683;1091555.765;-124.095;32.931;32.933;-2.221;-0.997;0.284;;;Gauche;-1.903;-0.997;-0.318;0.000
5.000;823248.706;1091557.640;-124.094;32.931;32.933;2.218;-0.997;0.282;;;Droite;1.903;-0.997;0.315;0.000
6.000;823248.706;1091557.640;-124.094;32.931;32.933;2.218;-0.997;0.282;;;Droite;1.903;-0.997;0.315;0.000
1.000;823247.151;1091560.889;-124.056;36.533;36.535;2.182;-0.995;0.248;;;Droite;1.903;-0.997;0.279;0.002
2.000;823247.151;1091560.889;-124.056;36.533;36.535;2.182;-0.995;0.248;;;Droite;1.903;-0.997;0.279;0.002
3.000;823243.163;1091559.025;-124.059;36.528;36.530;-2.220;-0.998;0.284;;;Gauche;-1.903;-0.997;-0.317;-0.001
4.000;823243.163;1091559.024;-124.059;36.528;36.530;-2.221;-0.998;0.285;;;Gauche;-1.903;-0.997;-0.318;-0.001
5.000;823242.553;1091560.066;-124.045;37.730;37.732;-2.333;-0.996;0.386;;;Gauche;-1.903;-0.997;-0.430;0.001
6.000;823242.553;1091560.066;-124.045;37.730;37.732;-2.333;-0.996;0.387;;;Gauche;-1.903;-0.997;-0.430;0.001
7.000;823246.696;1091561.999;-124.046;37.731;37.733;2.239;-0.997;0.300;;;Droite;1.903;-0.997;0.336;0.000
8.000;823246.696;1091561.998;-124.046;37.731;37.732;2.238;-0.997;0.300;;;Droite;1.903;-0.997;0.335;0.000
1.000;823258.817;1091536.755;-124.325;9.730;9.730;2.556;-0.995;0.593;;;Droite;1.903;-0.997;0.653;0.002
1.000;823258.817;1091536.755;-124.325;9.730;9.730;2.555;-0.995;0.592;;;Droite;1.903;-0.997;0.652;0.002
2.000;823254.174;1091534.590;-124.325;9.730;9.730;-2.568;-0.995;0.604;;;Gauche;-1.903;-0.997;-0.665;0.002
3.000;823254.174;1091534.590;-124.325;9.730;9.730;-2.568;-0.995;0.604;;;Gauche;-1.903;-0.997;-0.665;0.002
