H;V;PM
4.926;-1.130;37.645
4.889;-0.996;37.606
4.911;-1.075;37.636
4.915;-1.095;37.641
4.919;-1.110;37.645
4.863;-0.934;37.581
4.868;-0.948;37.587
4.887;-1.001;37.612
4.892;-1.015;37.619
4.893;-1.031;37.621
4.897;-1.051;37.626
4.916;-1.115;37.651
4.918;-1.130;37.653
4.920;-1.151;37.656
4.913;-1.175;37.644
4.912;-1.196;37.643
4.909;-1.240;37.638
4.914;-1.249;37.645
4.863;-0.943;37.588
4.867;-0.958;37.595
4.871;-0.972;37.600
4.876;-0.987;37.606
4.905;-1.090;37.645
4.913;-1.168;37.653
4.910;-1.185;37.649
4.906;-1.202;37.644
4.910;-1.238;37.649
4.911;-1.243;37.650
4.906;-1.261;37.642
4.854;-0.929;37.586
4.876;-0.996;37.615
4.883;-1.010;37.625
4.886;-1.036;37.629
4.893;-1.055;37.638
4.898;-1.070;37.644
4.897;-1.214;37.640
4.896;-1.225;37.637
4.899;-1.272;37.640
4.891;-1.306;37.629
4.865;-0.972;37.609
4.899;-1.095;37.654
4.908;-1.130;37.666
4.910;-1.151;37.668
4.910;-1.156;37.669
4.904;-1.174;37.660
4.906;-1.232;37.662
4.892;-1.289;37.640
4.888;-1.306;37.634
4.882;-1.334;37.624
4.847;-0.933;37.595
4.854;-0.953;37.603
4.885;-1.050;37.645
4.888;-1.065;37.649
4.890;-1.075;37.651
4.899;-1.110;37.663
4.898;-1.196;37.660
4.895;-1.218;37.656
4.897;-1.255;37.658
4.893;-1.266;37.651
4.875;-1.356;37.624
4.872;-1.388;37.619
4.862;-0.992;37.622
4.873;-1.015;37.638
4.876;-1.035;37.641
4.901;-1.135;37.675
4.885;-1.294;37.648
4.879;-1.317;37.640
4.870;-1.372;37.626
4.842;-0.943;37.605
4.851;-0.962;37.617
4.852;-0.977;37.619
4.881;-1.075;37.658
4.889;-1.105;37.668
4.893;-1.115;37.672
4.900;-1.150;37.682
4.898;-1.172;37.678
4.899;-1.214;37.680
4.897;-1.231;37.675
4.874;-1.333;37.641
4.872;-1.349;37.638
4.869;-1.366;37.633
4.867;-1.377;37.630
4.866;-1.393;37.628
4.861;-1.415;37.621
4.855;-1.454;37.611
4.853;-1.470;37.608
4.856;-1.501;37.612
