H;V;PM
4.835654;0.216720;37.052289
4.830712;0.227129;37.074220
4.761105;0.897320;37.153006
4.423427;1.838170;37.106886
0.712362;2.333745;37.567462
3.569964;3.198405;37.052063
3.514296;3.330127;37.005510
3.416992;3.400114;36.982778
2.903598;3.718003;36.910268
2.596874;3.900560;36.924869
2.314265;3.947399;36.906658
2.179963;4.177340;36.893946
1.505651;4.491108;36.853680
1.262467;4.582657;36.857567
1.233450;4.604174;36.833465
0.801181;4.579631;36.911683
0.049169;4.660247;36.823985
-0.754228;4.456923;36.797403
-0.805354;4.478805;36.781708
-1.329115;4.588119;36.728305
-1.380970;4.570574;36.712929
-1.948308;4.342897;36.713497
-2.312303;4.072633;36.729778
-2.489872;3.957718;36.718387
-2.638412;3.860309;36.775450
-2.695525;3.872253;36.724297
-2.692095;3.858990;36.732890
-2.722900;3.699993;36.820196
-3.042178;3.506811;36.822485
-3.049638;3.524719;36.807345
-3.298764;3.373865;36.771361
-4.001800;2.651627;36.686153
-4.194349;2.298649;36.739379
-4.306400;2.037711;36.785912
-4.303863;2.035972;36.797850
-4.477818;0.125518;36.973270
-4.380375;0.051676;36.953060
-3.720711;-0.069122;37.137401
-3.592597;-0.113361;37.134189
-2.856834;-0.200624;37.284052
-2.059261;-0.258405;37.473431
-1.881440;-0.267331;37.488592
-1.813621;-0.270186;37.495155
-1.161299;0.751258;37.636892
-1.683634;0.088788;37.554641
-1.364818;-0.272541;37.535343
0.149959;-0.380025;37.605523
1.317500;-0.331312;37.642367
1.684080;-0.302784;37.608146
2.125552;-0.272304;37.601557
2.859376;-0.200867;37.590792
3.280882;-0.143405;37.572677
3.545795;-0.116467;37.563035
4.378568;0.025507;37.409734
4.508687;0.056880;37.347318
2.877489;1.203025;37.519732
4.571150;0.917676;37.292690
3.549224;1.687596;37.369888
3.212249;3.363310;37.061135
2.139540;3.935555;36.978776
2.146312;4.034713;36.957583
0.751290;4.494598;36.951875
-1.503614;4.484610;36.802921
-2.270885;4.050488;36.749155
-2.454288;3.880188;36.801932
-3.379338;3.296104;36.776898
