H;V;PM
4.264;1.079;52.582
4.171;0.576;52.523
4.257;1.129;52.595
4.064;0.239;52.444
4.234;1.037;52.597
4.170;0.600;52.546
4.076;0.383;52.471
4.186;0.676;52.575
4.083;0.441;52.496
4.197;0.738;52.602
4.241;1.238;52.641
3.987;0.037;52.438
4.201;0.845;52.618
4.204;1.177;52.625
4.104;0.562;52.554
3.987;0.097;52.460
3.994;0.237;52.468
4.219;1.317;52.666
4.118;0.633;52.591
3.992;0.386;52.497
4.014;0.457;52.519
4.129;0.701;52.629
3.916;-0.020;52.448
4.210;1.475;52.706
4.137;1.076;52.650
4.140;0.877;52.658
3.926;0.057;52.478
4.138;1.177;52.661
3.936;0.176;52.496
4.213;1.580;52.740
4.158;1.274;52.699
4.196;1.733;52.738
4.069;0.659;52.629
3.942;0.382;52.519
4.162;1.437;52.713
4.107;0.749;52.671
3.771;-0.068;52.383
4.174;1.735;52.745
4.178;1.533;52.750
4.152;1.867;52.734
4.178;1.664;52.758
4.179;1.592;52.759
3.961;0.481;52.577
4.077;0.733;52.680
3.877;0.007;52.511
4.088;1.095;52.704
4.078;0.975;52.699
4.087;1.964;52.715
4.089;1.201;52.724
4.095;1.335;52.732
3.876;0.136;52.542
3.854;0.236;52.530
4.103;1.833;52.758
3.657;-0.094;52.361
3.990;0.622;52.661
4.111;1.734;52.773
3.889;0.443;52.583
3.782;-0.019;52.497
4.056;1.235;52.750
3.993;0.676;52.700
4.017;2.047;52.729
4.019;0.776;52.738
4.024;1.977;52.746
3.799;0.037;52.548
4.026;0.877;52.755
3.919;0.584;52.660
4.027;1.076;52.763
4.033;1.334;52.771
3.808;0.181;52.565
3.809;0.335;52.569
3.585;-0.098;52.367
4.039;1.793;52.784
3.589;-0.094;52.378
3.697;-0.035;52.478
3.937;2.274;52.703
3.999;0.977;52.762
4.046;1.495;52.810
3.931;0.652;52.705
3.940;2.193;52.726
3.883;2.431;52.680
3.947;2.073;52.743
3.949;0.716;52.748
3.841;0.556;52.656
3.729;0.003;52.554
3.953;0.723;52.768
3.983;1.082;52.801
3.984;1.280;52.804
3.620;-0.056;52.464
3.963;0.875;52.788
3.740;0.076;52.584
3.851;2.481;52.693
3.735;0.278;52.584
3.969;1.834;52.805
3.743;0.374;52.593
3.974;1.135;52.811
3.739;0.136;52.591
3.976;1.374;52.826
3.983;1.454;52.835
3.530;-0.093;52.413
3.866;2.334;52.732
3.755;0.441;52.628
3.877;2.037;52.759
3.970;1.534;52.846
3.877;0.679;52.758
3.648;-0.016;52.541
3.931;0.934;52.813
3.768;0.517;52.667
3.889;1.974;52.793
3.893;0.755;52.797
3.843;2.072;52.754
3.903;1.877;52.820
3.911;1.374;52.826
3.902;0.832;52.820
3.664;0.040;52.593
3.791;2.535;52.723
3.673;0.328;52.611
3.912;1.734;52.845
3.677;0.175;52.618
3.909;1.293;52.844
3.904;0.974;52.838
3.911;1.153;52.848
3.911;1.120;52.854
3.914;1.097;52.861
3.683;0.382;52.641
3.661;2.802;52.623
3.807;2.388;52.763
3.918;1.533;52.870
3.919;1.433;52.870
3.911;1.326;52.863
3.455;-0.097;52.426
3.432;-0.110;52.404
3.623;2.840;52.602
3.856;1.670;52.827
3.696;2.732;52.675
3.697;0.475;52.676
3.810;1.555;52.797
3.815;0.711;52.801
3.710;2.676;52.708
3.894;1.474;52.887
3.835;1.986;52.833
3.709;0.551;52.712
3.726;2.584;52.735
3.837;1.546;52.842
3.816;2.020;52.825
3.835;0.780;52.847
3.532;2.955;52.553
3.606;2.831;52.632
3.486;-0.060;52.514
3.835;1.768;52.860
3.841;0.886;52.866
3.609;0.235;52.639
3.845;1.853;52.874
3.726;0.617;52.756
3.740;2.512;52.775
3.849;1.233;52.883
3.610;0.175;52.645
3.472;3.012;52.517
3.614;0.377;52.658
3.855;1.337;52.899
3.850;1.034;52.894
3.616;2.765;52.672
3.523;-0.009;52.579
3.741;2.430;52.799
3.624;0.437;52.684
3.743;0.677;52.809
3.442;3.029;52.516
3.515;2.933;52.593
3.638;2.704;52.722
3.764;1.634;52.863
3.765;1.875;52.866
3.766;1.734;52.867
3.534;2.870;52.638
3.651;2.629;52.762
3.653;0.579;52.762
3.533;0.041;52.641
3.771;0.815;52.884
3.809;1.471;52.927
3.735;2.179;52.855
3.664;2.550;52.788
3.781;0.834;52.905
3.422;3.032;52.545
3.544;2.798;52.675
3.784;1.232;52.918
3.547;0.235;52.675
3.790;1.133;52.926
3.665;0.651;52.797
3.551;0.398;52.690
3.669;2.473;52.817
3.312;-0.116;52.451
3.685;0.719;52.844
3.689;2.295;52.854
3.400;-0.046;52.561
3.367;3.170;52.534
3.688;2.264;52.865
3.732;0.840;52.912
3.331;-0.094;52.498
3.717;1.931;52.903
3.750;1.133;52.944
3.580;2.669;52.773
3.710;2.031;52.907
3.709;1.773;52.906
3.706;1.633;52.912
3.707;1.429;52.913
3.473;0.074;52.675
3.594;0.615;52.804
3.714;1.556;52.931
3.711;1.355;52.930
3.360;3.077;52.571
3.476;2.842;52.693
3.721;1.271;52.949
3.481;0.177;52.702
3.484;0.333;52.711
3.484;0.254;52.713
3.713;0.940;52.956
3.319;-0.078;52.543
3.330;3.272;52.560
3.494;2.776;52.738
3.669;2.173;52.933
3.623;2.372;52.886
3.379;2.990;52.637
