H;V;PM
1.559;4.836;50.405
1.566;4.850;50.411
1.641;4.946;50.471
1.745;5.117;50.556
1.777;5.103;50.581
1.799;5.098;50.598
1.809;5.102;50.607
1.842;5.087;50.633
1.977;5.058;50.742
2.063;5.026;50.811
2.137;5.027;50.871
2.168;5.018;50.896
2.172;5.015;50.899
2.214;5.005;50.933
2.525;4.881;51.183
2.619;4.856;51.259
2.756;4.827;51.369
2.789;4.816;51.395
2.811;4.798;51.413
2.882;4.753;51.470
2.950;4.698;51.525
3.007;4.647;51.571
3.049;4.607;51.605
3.087;4.578;51.635
3.117;4.557;51.660
3.182;4.492;51.711
3.191;4.476;51.718
3.296;4.394;51.803
3.311;4.396;51.815
3.448;4.273;51.925
3.470;4.258;51.943
3.538;4.164;51.998
3.635;3.933;52.075
3.636;3.929;52.076
3.642;3.880;52.081
3.671;3.759;52.105
3.698;3.677;52.126
3.732;3.597;52.154
3.754;3.532;52.171
3.754;3.512;52.171
3.761;3.491;52.177
3.765;3.487;52.180
3.763;3.473;52.179
3.779;3.419;52.192
3.780;3.417;52.192
3.771;3.371;52.185
3.767;3.267;52.182
3.800;3.186;52.209
3.809;3.178;52.215
3.811;3.171;52.217
3.835;3.131;52.236
3.886;3.065;52.277
3.930;2.986;52.312
3.948;2.941;52.327
3.967;2.897;52.342
4.033;2.738;52.396
4.045;2.712;52.405
4.064;2.674;52.420
4.141;2.451;52.482
4.140;2.419;52.481
4.148;2.418;52.487
4.163;2.369;52.500
4.196;2.276;52.526
4.224;2.204;52.549
4.227;2.195;52.551
4.228;2.187;52.552
4.256;2.102;52.575
4.259;2.085;52.577
4.268;2.055;52.584
1.533;4.778;50.385
1.629;4.940;50.462
1.665;4.990;50.492
1.704;5.090;50.523
1.873;5.075;50.659
2.033;5.041;50.788
2.066;5.029;50.814
2.323;4.963;51.022
2.555;4.876;51.208
2.587;4.869;51.234
2.685;4.849;51.313
2.909;4.735;51.493
2.914;4.723;51.498
2.947;4.701;51.524
2.979;4.671;51.550
2.987;4.671;51.556
3.056;4.598;51.612
3.185;4.486;51.715
3.238;4.435;51.758
3.263;4.415;51.778
3.269;4.411;51.783
3.289;4.406;51.799
3.335;4.372;51.836
3.440;4.284;51.921
3.565;4.128;52.021
3.618;4.006;52.064
3.619;4.001;52.065
3.631;3.949;52.074
3.662;3.788;52.100
3.664;3.778;52.100
3.683;3.726;52.116
3.695;3.689;52.125
3.726;3.617;52.151
3.727;3.608;52.152
3.763;3.500;52.180
3.763;3.318;52.181
3.768;3.259;52.185
3.770;3.252;52.186
3.786;3.199;52.199
3.803;3.181;52.212
3.865;3.080;52.263
3.934;2.956;52.318
3.962;2.899;52.340
3.995;2.800;52.367
4.007;2.771;52.376
4.024;2.766;52.390
4.087;2.594;52.441
4.120;2.495;52.467
4.123;2.485;52.469
4.141;2.443;52.485
4.153;2.405;52.494
4.154;2.384;52.495
4.177;2.315;52.513
4.214;2.224;52.543
4.209;2.209;52.539
4.249;2.127;52.571
4.254;2.123;52.575
2.217;5.004;50.937
2.226;5.011;50.945
2.290;4.978;50.996
2.321;4.966;51.021
2.353;4.947;51.047
2.380;4.933;51.068
2.487;4.895;51.155
2.544;4.884;51.201
2.620;4.850;51.262
2.798;4.799;51.405
2.895;4.738;51.483
2.912;4.731;51.497
2.940;4.705;51.520
2.996;4.663;51.565
3.010;4.643;51.576
3.056;4.598;51.613
3.069;4.594;51.624
3.111;4.556;51.657
3.167;4.512;51.703
3.190;4.476;51.721
3.292;4.402;51.803
3.332;4.381;51.835
3.396;4.321;51.887
3.462;4.261;51.940
3.482;4.237;51.956
3.494;4.220;51.966
3.497;4.213;51.968
3.529;4.174;51.994
3.559;4.142;52.018
3.577;4.114;52.033
3.600;4.072;52.051
3.634;3.912;52.078
3.659;3.797;52.099
3.687;3.698;52.121
3.688;3.693;52.121
3.719;3.630;52.147
3.789;3.189;52.203
3.821;3.147;52.229
3.853;3.106;52.254
3.887;3.046;52.282
3.895;3.031;52.289
3.920;3.008;52.308
3.944;2.947;52.327
3.950;2.936;52.333
3.953;2.929;52.335
3.980;2.874;52.357
4.018;2.770;52.388
4.025;2.745;52.393
4.044;2.704;52.408
4.047;2.695;52.411
4.120;2.476;52.470
4.123;2.468;52.472
4.135;2.419;52.481
4.149;2.415;52.493
4.175;2.335;52.513
4.194;2.293;52.529
4.196;2.271;52.530
4.214;2.234;52.545
4.214;2.214;52.545
4.237;2.153;52.563
4.251;2.106;52.574
4.274;2.027;52.593
4.281;2.015;52.598
1.624;4.938;50.460
1.736;5.120;50.550
1.896;5.072;50.680
1.981;5.057;50.748
1.992;5.055;50.757
2.161;5.022;50.893
2.259;4.993;50.972
2.461;4.902;51.134
2.483;4.900;51.152
2.513;4.887;51.177
2.558;4.871;51.213
2.739;4.835;51.359
2.745;4.835;51.363
2.970;4.682;51.545
