H;V;PM
2.525;4.881;51.183
2.487;4.895;51.155
2.461;4.902;51.134
2.483;4.9;51.152
2.513;4.887;51.177
2.442;4.91;51.121
2.474;4.896;51.147
2.507;4.891;51.174
2.53;4.881;51.193
2.43;4.924;51.114
2.434;4.912;51.117
2.465;4.898;51.142
2.52;4.884;51.187
2.43;4.917;51.115
2.496;4.891;51.168
2.488;4.89;51.164
2.519;4.881;51.191
2.415;4.926;51.107
2.457;4.903;51.141
2.447;4.91;51.134
2.481;4.891;51.162
2.512;4.882;51.187
2.405;4.922;51.102
2.417;4.922;51.111
2.422;4.921;51.115
2.477;4.895;51.16
2.437;4.913;51.129
2.469;4.897;51.156
2.502;4.887;51.182
2.437;4.915;51.132
2.397;4.922;51.1
2.406;4.924;51.107
2.428;4.916;51.125
2.455;4.902;51.147
2.459;4.897;51.15
2.446;4.914;51.141
2.516;4.881;51.198
2.477;4.892;51.167
2.492;4.889;51.179
2.419;4.916;51.121
2.422;4.913;51.124
2.425;4.913;51.126
2.484;4.89;51.174
2.451;4.909;51.148
2.411;4.92;51.118
2.442;4.91;51.143
2.481;4.894;51.175
2.506;4.886;51.196
2.473;4.897;51.17
2.4;4.924;51.111
2.433;4.909;51.139
2.456;4.901;51.158
2.496;4.886;51.191
2.394;4.923;51.108
2.401;4.922;51.114
2.469;4.905;51.17
2.498;4.882;51.193
2.504;4.882;51.198
2.383;4.936;51.1
2.451;4.903;51.156
2.489;4.887;51.187
2.448;4.914;51.155
2.478;4.896;51.18
2.384;4.929;51.104
2.39;4.926;51.109
2.424;4.91;51.137
2.454;4.908;51.162
2.478;4.889;51.184
2.409;4.921;51.128
2.413;4.916;51.131
2.416;4.913;51.134
2.398;4.922;51.12
2.405;4.925;51.126
2.437;4.908;51.153
2.463;4.906;51.174
2.469;4.899;51.179
2.373;4.929;51.101
2.453;4.906;51.167
2.428;4.908;51.148
2.46;4.896;51.176
2.395;4.924;51.123
2.484;4.884;51.196
2.387;4.927;51.118
2.414;4.912;51.14
2.366;4.933;51.102
2.389;4.922;51.12
2.419;4.911;51.145
2.468;4.89;51.186
2.441;4.903;51.164
2.444;4.899;51.167
2.378;4.929;51.113
2.474;4.886;51.193
2.41;4.916;51.141
2.465;4.895;51.188
2.403;4.921;51.137
2.433;4.906;51.162
2.47;4.895;51.193
2.359;4.938;51.102
2.369;4.93;51.11
2.426;4.909;51.158
2.393;4.925;51.131
2.36;4.932;51.106
2.447;4.899;51.178
2.382;4.927;51.125
2.414;4.91;51.152
2.457;4.892;51.187
2.384;4.921;51.128
2.409;4.913;51.149
2.352;4.937;51.102
2.407;4.914;51.148
2.439;4.902;51.175
2.457;4.892;51.19
2.461;4.892;51.193
2.376;4.93;51.123
2.389;4.923;51.135
2.401;4.913;51.146
2.392;4.925;51.139
2.398;4.917;51.145
2.461;4.894;51.198
2.366;4.93;51.119
2.429;4.907;51.172
2.453;4.898;51.192
2.408;4.913;51.156
2.412;4.913;51.159
2.421;4.91;51.167
2.431;4.903;51.176
2.356;4.929;51.114
2.436;4.902;51.181
2.381;4.921;51.136
2.387;4.92;51.142
2.443;4.898;51.188
2.412;4.916;51.163
2.346;4.935;51.109
2.349;4.933;51.112
2.376;4.925;51.136
2.428;4.902;51.179
2.435;4.905;51.185
2.339;4.939;51.105
2.371;4.929;51.133
2.402;4.916;51.158
2.425;4.906;51.179
2.332;4.943;51.102
2.42;4.911;51.175
2.448;4.901;51.199
2.394;4.918;51.155
2.329;4.945;51.101
2.385;4.922;51.149
2.359;4.928;51.128
2.415;4.914;51.175
2.352;4.936;51.122
2.372;4.922;51.139
2.354;4.931;51.125
2.384;4.923;51.151
2.388;4.923;51.155
2.407;4.915;51.171
2.438;4.904;51.197
2.376;4.92;51.146
2.343;4.938;51.119
2.428;4.904;51.193
2.433;4.902;51.196
2.365;4.926;51.14
2.372;4.924;51.146
2.386;4.923;51.158
2.334;4.94;51.115
2.397;4.915;51.168
2.402;4.912;51.172
2.388;4.919;51.162
2.416;4.912;51.186
2.422;4.908;51.191
2.357;4.93;51.137
2.381;4.924;51.157
2.399;4.912;51.172
2.431;4.902;51.199
2.325;4.941;51.111
2.405;4.913;51.179
2.412;4.915;51.184
2.349;4.93;51.133
2.317;4.94;51.107
2.369;4.925;51.151
2.38;4.921;51.16
2.401;4.91;51.181
2.312;4.945;51.106
2.37;4.92;51.155
2.339;4.939;51.13
2.386;4.919;51.17
2.395;4.911;51.177
2.307;4.949;51.104
2.363;4.921;51.151
2.416;4.914;51.198
2.329;4.939;51.125
2.409;4.913;51.194
2.321;4.938;51.12
2.352;4.929;51.146
2.376;4.918;51.167
2.384;4.925;51.174
2.387;4.925;51.178
2.345;4.93;51.143
2.405;4.911;51.194
2.313;4.941;51.116
2.367;4.918;51.162
2.397;4.908;51.189
2.311;4.946;51.115
2.34;4.934;51.141
2.393;4.909;51.186
2.337;4.94;51.139
2.363;4.924;51.161
2.377;4.923;51.173
2.303;4.948;51.112
2.333;4.944;51.138
2.386;4.925;51.184
2.389;4.919;51.186
2.324;4.942;51.131
2.358;4.928;51.16
2.371;4.922;51.171
2.381;4.928;51.181
2.294;4.951;51.108
2.326;4.945;51.135
2.349;4.926;51.155
2.317;4.939;51.128
2.366;4.922;51.17
2.383;4.923;51.185
2.285;4.952;51.102
2.329;4.943;51.141
2.34;4.929;51.151
2.371;4.928;51.177
2.394;4.911;51.197
2.28;4.953;51.1
2.3;4.943;51.118
2.307;4.947;51.124
2.309;4.939;51.126
2.334;4.932;51.147
2.291;4.954;51.111
2.36;4.927;51.172
2.329;4.937;51.146
2.384;4.927;51.193
2.388;4.911;51.197
2.298;4.947;51.121
2.352;4.927;51.168
2.344;4.93;51.164
2.376;4.93;51.191
2.288;4.955;51.116
2.29;4.951;51.118
2.321;4.94;51.145
2.307;4.941;51.133
2.336;4.931;51.159
2.367;4.929;51.185
2.279;4.951;51.111
2.311;4.94;51.139
2.342;4.933;51.166
2.38;4.924;51.199
2.358;4.929;51.181
2.271;4.955;51.106
2.302;4.946;51.133
2.326;4.936;51.154
2.329;4.933;51.157
2.355;4.934;51.179
2.295;4.951;51.129
2.349;4.93;51.176
2.373;4.925;51.196
2.272;4.952;51.11
2.333;4.934;51.163
2.343;4.932;51.172
2.262;4.96;51.103
2.286;4.951;51.124
2.317;4.939;51.152
2.257;4.963;51.1
2.273;4.953;51.114
2.363;4.925;51.193
2.345;4.933;51.179
2.306;4.945;51.146
2.308;4.941;51.147
2.283;4.954;51.127
2.331;4.934;51.168
2.337;4.936;51.175
2.276;4.957;51.122
2.299;4.948;51.143
2.364;4.922;51.199
2.277;4.953;51.125
2.302;4.942;51.146
2.344;4.934;51.183
2.353;4.927;51.191
2.267;4.959;51.117
2.321;4.937;51.166
2.346;4.93;51.187
2.259;4.96;51.113
2.313;4.939;51.16
2.28;4.953;51.133
2.33;4.932;51.178
2.251;4.97;51.109
2.255;4.966;51.113
2.307;4.942;51.158
2.28;4.955;51.136
2.319;4.932;51.17
2.336;4.93;51.185
2.271;4.956;51.129
2.303;4.947;51.157
2.326;4.935;51.177
2.24;4.971;51.104
2.295;4.946;51.152
2.246;4.975;51.11
2.271;4.95;51.132
2.262;4.959;51.125
2.285;4.946;51.146
2.317;4.936;51.174
2.341;4.929;51.196
2.308;4.939;51.169
2.23;4.98;51.101
2.253;4.96;51.121
2.284;4.942;51.149
2.333;4.931;51.192
2.338;4.933;51.197
2.231;4.969;51.103
2.238;4.973;51.109
2.276;4.949;51.143
2.33;4.935;51.191
2.246;4.969;51.117
2.279;4.942;51.147
2.3;4.941;51.166
2.296;4.946;51.163
2.307;4.944;51.173
2.322;4.936;51.187
2.242;4.974;51.117
2.254;4.963;51.128
2.269;4.952;51.141
2.223;4.966;51.101
2.259;4.963;51.133
2.284;4.949;51.156
2.313;4.937;51.183
2.226;4.971;51.106
2.235;4.976;51.114
2.289;4.948;51.162
2.218;4.963;51.1
2.258;4.965;51.135
2.274;4.95;51.15
2.263;4.964;51.141
2.304;4.944;51.178
2.22;4.968;51.104
2.305;4.943;51.179
2.249;4.966;51.131
2.297;4.942;51.174
2.221;4.981;51.107
2.226;4.979;51.111
2.279;4.956;51.159
2.217;4.988;51.104
2.271;4.954;51.153
2.32;4.941;51.197
2.241;4.97;51.126
2.293;4.944;51.174
2.262;4.957;51.147
2.283;4.954;51.166
2.311;4.944;51.191
2.317;4.945;51.197
2.265;4.952;51.151
2.231;4.976;51.122
2.208;4.996;51.102
2.256;4.961;51.145
2.233;4.972;51.126
2.253;4.964;51.144
2.307;4.94;51.192
2.222;4.98;51.117
2.277;4.956;51.167
2.28;4.952;51.169
2.3;4.941;51.189
2.245;4.966;51.14
2.298;4.943;51.187
2.269;4.954;51.162
2.291;4.942;51.183
2.218;4.984;51.118
2.212;4.988;51.113
2.23;4.973;51.13
2.262;4.952;51.158
2.264;4.952;51.161
2.236;4.971;51.136
2.207;4.992;51.111
2.259;4.957;51.158
2.276;4.951;51.173
2.281;4.946;51.179
2.203;4.996;51.11
2.254;4.961;51.155
2.264;4.953;51.166
2.249;4.966;51.154
2.195;4.999;51.106
2.296;4.939;51.197
2.264;4.958;51.169
2.271;4.954;51.176
2.293;4.945;51.195
2.187;5.001;51.1
2.216;4.984;51.127
2.235;4.972;51.144
2.241;4.969;51.149
2.219;4.981;51.13
2.219;4.973;51.131
2.287;4.95;51.193
2.203;4.991;51.119
2.255;4.96;51.166
2.28;4.952;51.189
2.25;4.961;51.163
2.183;5.005;51.103
2.2;4.997;51.118
2.209;4.983;51.126
2.23;4.974;51.146
2.223;4.98;51.14
2.254;4.963;51.169
2.276;4.954;51.189
2.234;4.973;51.151
2.246;4.968;51.163
2.238;4.971;51.156
2.263;4.962;51.179
2.215;4.981;51.136
2.269;4.958;51.186
2.19;5.0;51.114
2.241;4.974;51.162
2.207;4.981;51.132
2.183;5.004;51.111
2.236;4.974;51.16
2.258;4.966;51.18
2.228;4.98;51.154
2.273;4.951;51.195
2.203;4.988;51.132
2.211;4.985;51.139
2.215;4.982;51.143
2.175;5.001;51.107
2.18;5.003;51.111
2.242;4.97;51.169
2.251;4.967;51.177
2.196;4.994;51.127
2.22;4.981;51.149
2.17;5.005;51.105
2.199;4.992;51.131
2.238;4.971;51.167
2.264;4.957;51.193
2.242;4.973;51.173
2.247;4.973;51.177
2.164;5.009;51.102
2.216;4.984;51.15
2.187;5.0;51.124
2.21;4.988;51.146
2.232;4.975;51.167
2.257;4.961;51.19
2.265;4.952;51.199
2.177;5.004;51.119
2.18;5.003;51.122
2.201;4.991;51.141
2.223;4.979;51.163
2.247;4.968;51.186
2.244;4.975;51.183
2.168;5.005;51.115
2.195;4.993;51.14
2.235;4.972;51.177
2.217;4.982;51.16
2.19;4.996;51.137
2.213;4.985;51.158
2.236;4.974;51.181
2.16;5.01;51.111
2.252;4.96;51.197
2.157;5.014;51.109
2.168;5.003;51.119
2.17;5.002;51.122
2.182;4.999;51.132
2.205;4.987;51.154
2.229;4.978;51.176
2.151;5.015;51.106
2.175;5.002;51.128
2.25;4.967;51.198
2.19;4.992;51.145
2.196;4.989;51.15
2.215;4.983;51.168
2.22;4.982;51.172
2.143;5.013;51.102
2.171;5.004;51.127
2.236;4.97;51.188
2.242;4.969;51.194
2.148;5.013;51.107
2.164;5.008;51.124
2.211;4.984;51.168
2.216;4.984;51.173
2.139;5.015;51.102
2.186;4.996;51.146
2.221;4.983;51.178
2.156;5.011;51.119
2.231;4.973;51.189
2.149;5.013;51.113
2.202;4.985;51.163
2.179;4.999;51.142
2.225;4.979;51.186
2.143;5.013;51.111
2.221;4.983;51.185
2.192;4.99;51.159
2.146;5.017;51.117
2.169;5.001;51.139
2.214;4.986;51.181
2.189;4.994;51.158
2.161;5.007;51.133
2.131;5.021;51.107
2.136;5.018;51.112
2.183;4.997;51.156
2.205;4.989;51.177
2.227;4.976;51.198
2.153;5.012;51.129
2.191;4.992;51.165
2.174;4.998;51.15
2.15;5.015;51.128
2.197;4.988;51.172
2.22;4.98;51.194
2.127;5.026;51.108
2.158;5.015;51.137
2.214;4.982;51.19
2.12;5.02;51.102
2.164;5.001;51.145
2.172;5.005;51.153
2.141;5.019;51.125
2.187;4.996;51.168
2.121;5.025;51.107
2.175;4.999;51.159
2.133;5.02;51.121
2.156;5.017;51.142
2.159;5.01;51.146
2.197;4.991;51.182
2.201;4.988;51.186
2.212;4.982;51.197
2.125;5.02;51.117
2.142;5.012;51.134
2.174;5.005;51.164
2.16;5.003;51.152
2.17;5.007;51.161
2.145;5.011;51.138
2.191;4.994;51.182
2.116;5.021;51.112
2.178;5.001;51.171
2.137;5.017;51.133
2.184;4.996;51.177
2.204;4.993;51.197
2.149;5.011;51.145
2.155;5.01;51.151
2.124;5.023;51.123
2.13;5.02;51.128
2.159;5.007;51.156
2.115;5.025;51.115
2.197;4.994;51.193
2.105;5.018;51.107
2.174;5.005;51.174
2.198;4.991;51.196
2.127;5.027;51.131
2.132;5.023;51.135
2.143;5.02;51.147
2.15;5.016;51.153
2.178;5.004;51.179
2.097;5.02;51.103
2.119;5.03;51.125
2.153;5.013;51.158
2.16;5.013;51.164
2.164;5.008;51.169
2.192;4.992;51.195
2.181;4.999;51.186
2.187;4.996;51.192
2.111;5.033;51.121
2.112;5.033;51.122
2.088;5.021;51.1
2.1;5.023;51.111
2.131;5.023;51.141
2.134;5.022;51.144
2.156;5.014;51.166
2.178;5.005;51.187
2.125;5.026;51.138
2.103;5.027;51.118
2.128;5.022;51.142
2.135;5.021;51.15
2.146;5.016;51.16
2.158;5.012;51.171
2.169;5.007;51.182
2.14;5.02;51.155
2.094;5.023;51.112
2.118;5.03;51.135
2.184;4.997;51.199
2.161;5.008;51.178
2.081;5.023;51.102
2.092;5.025;51.113
2.103;5.032;51.125
2.114;5.037;51.135
2.136;5.025;51.157
2.158;5.013;51.179
2.177;5.001;51.197
2.106;5.038;51.13
2.152;5.016;51.174
2.083;5.025;51.109
2.129;5.027;51.153
2.146;5.021;51.17
2.173;5.005;51.196
2.09;5.023;51.119
2.161;5.011;51.187
2.165;5.009;51.192
2.073;5.025;51.103
2.076;5.023;51.106
2.096;5.029;51.126
2.119;5.027;51.148
2.142;5.026;51.17
2.115;5.031;51.145
2.096;5.036;51.129
2.134;5.028;51.166
2.156;5.015;51.187
2.065;5.028;51.1
2.11;5.038;51.143
2.087;5.028;51.122
2.08;5.029;51.117
2.103;5.04;51.139
2.125;5.034;51.161
2.147;5.017;51.183
2.125;5.031;51.163
2.111;5.032;51.151
2.14;5.02;51.179
2.086;5.032;51.127
2.117;5.033;51.157
2.093;5.039;51.135
2.069;5.026;51.113
2.115;5.033;51.158
2.13;5.026;51.174
2.061;5.03;51.108
2.084;5.037;51.13
2.152;5.016;51.197
2.106;5.038;51.154
2.074;5.031;51.124
2.121;5.03;51.17
2.144;5.02;51.193
2.098;5.04;51.149
2.136;5.021;51.187
2.05;5.035;51.104
2.052;5.032;51.106
2.059;5.036;51.112
2.075;5.034;51.129
2.091;5.042;51.144
2.117;5.034;51.171
2.067;5.032;51.122
2.111;5.037;51.166
2.063;5.035;51.12
2.132;5.025;51.189
2.126;5.028;51.184
2.08;5.039;51.14
2.104;5.042;51.163
2.119;5.032;51.179
2.057;5.038;51.12
2.094;5.041;51.157
2.101;5.043;51.163
2.041;5.033;51.105
2.085;5.042;51.149
2.042;5.033;51.107
2.048;5.032;51.113
2.071;5.038;51.135
2.08;5.044;51.145
2.091;5.044;51.157
2.115;5.034;51.18
2.131;5.029;51.197
2.107;5.036;51.174
2.046;5.034;51.114
2.075;5.043;51.144
2.118;5.032;51.187
2.068;5.044;51.139
2.084;5.045;51.154
2.098;5.043;51.169
2.122;5.029;51.192
2.038;5.036;51.11
2.077;5.047;51.149
2.053;5.038;51.126
2.099;5.043;51.173
2.03;5.038;51.105
2.059;5.033;51.133
2.066;5.039;51.141
2.118;5.034;51.193
2.09;5.045;51.166
2.112;5.038;51.189
2.022;5.04;51.1
2.056;5.046;51.134
2.028;5.047;51.107
2.061;5.038;51.14
2.06;5.029;51.139
2.092;5.042;51.171
2.065;5.049;51.145
2.031;5.043;51.112
2.037;5.039;51.118
2.042;5.038;51.123
2.061;5.023;51.142
2.081;5.045;51.162
2.103;5.039;51.184
2.067;5.053;51.15
2.063;5.02;51.145
2.063;5.029;51.147
2.097;5.042;51.18
2.057;5.049;51.141
2.068;5.041;51.152
2.069;5.029;51.153
2.089;5.043;51.173
2.019;5.047;51.104
2.074;5.037;51.159
2.077;5.042;51.163
2.033;5.046;51.12
2.039;5.043;51.125
2.094;5.045;51.18
2.048;5.048;51.137
2.071;5.048;51.159
2.065;5.051;51.155
2.108;5.038;51.198
2.025;5.055;51.117
2.07;5.054;51.162
2.084;5.047;51.176
2.04;5.045;51.132
2.038;5.043;51.131
2.099;5.039;51.193
2.016;5.049;51.11
2.052;5.051;51.147
2.076;5.049;51.171
2.006;5.042;51.103
2.092;5.04;51.189
2.03;5.048;51.128
2.066;5.054;51.166
2.088;5.044;51.188
2.052;5.056;51.152
2.022;5.054;51.123
2.032;5.042;51.133
2.042;5.052;51.144
2.046;5.054;51.147
2.067;5.051;51.169
2.006;5.046;51.108
2.034;5.042;51.136
1.999;5.046;51.101
2.021;5.053;51.125
2.031;5.042;51.135
2.059;5.052;51.163
2.081;5.05;51.185
2.037;5.048;51.142
2.056;5.053;51.162
2.027;5.05;51.136
2.072;5.052;51.181
2.011;5.056;51.12
2.034;5.057;51.143
2.04;5.052;51.149
2.072;5.053;51.183
2.048;5.055;51.159
2.083;5.046;51.196
2.086;5.039;51.199
2.002;5.051;51.115
2.064;5.05;51.177
1.995;5.051;51.109
2.016;5.052;51.13
2.062;5.057;51.177
2.018;5.055;51.134
2.076;5.05;51.194
2.002;5.054;51.118
2.053;5.056;51.171
2.029;5.052;51.148
2.008;5.048;51.126
1.994;5.055;51.113
2.068;5.05;51.189
2.022;5.051;51.144
1.985;5.05;51.106
2.007;5.057;51.13
2.016;5.052;51.139
2.044;5.058;51.168
2.021;5.059;51.147
2.037;5.062;51.163
2.057;5.057;51.183
1.977;5.051;51.102
1.998;5.057;51.124
2.059;5.05;51.186
2.012;5.059;51.139
2.019;5.065;51.148
1.99;5.057;51.119
2.028;5.061;51.158
2.062;5.052;51.193
2.05;5.058;51.181
1.973;5.055;51.103
1.979;5.053;51.11
2.014;5.066;51.145
2.033;5.064;51.165
2.059;5.052;51.192
2.063;5.056;51.199
2.002;5.058;51.137
2.02;5.061;51.155
1.981;5.058;51.116
2.025;5.066;51.161
