source_file,sheet,month,metric,periodic_mm,cumulative_mm,cumulative_outside_month
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Convergences,2025-07,BG,-1.084533144065425,-12.528242376895982,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Convergences,2025-07,HG,-0.7842050667059564,-5.992417424288687,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Convergences,2025-07,HD,,-3.9554132486825377,True
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Convergences,2025-07,BD,-1.1060387380643633,-15.07011354749821,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Convergences,2025-07,LH,,-7.938004158620338,True
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Convergences,2025-07,LB,-1.3324457902079718,-16.947715035375843,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Convergences,2025-07,IG,,,
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Convergences,2025-07,ID,,,
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Convergences,2025-07,LI,,,
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Convergences,2025-07,BG,-2.885303301776613,-33.927714885791715,False
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Convergences,2025-07,HG,-2.366922726197096,-30.333003997105923,False
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Convergences,2025-07,HD,,-9.71800058032768,True
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Convergences,2025-07,BD,4.517886932482897,-6.30904798856502,False
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Convergences,2025-07,LH,,-10.644048571512243,True
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Convergences,2025-07,LB,-2.555144575045354,-24.086595766220853,False
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Convergences,2025-07,IG,,,
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Convergences,2025-07,ID,,,
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Convergences,2025-07,LI,,,
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Convergences,2025-07,BG,,0.0,True
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Convergences,2025-07,HG,-1.368737101397512,-16.789279185015715,False
