source_file,sheet,month,measure_label,col_index,col_letter,periodic_mm,cumulative_mm,cumulative_outside_month
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DPM bas gauche,3,C,0.4047862325140539,-8.116565682811938,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DH bas gauche,4,D,0.07841003607644836,9.124766269835494,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DZ bas gauche,5,E,0.30000000000995897,0.30000000000995897,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DPM haut gauche,6,F,0.7189409639278832,-6.075331514099558,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DH haut gauche,7,G,0.11455992169784324,6.876797669799428,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DZ haut gauche,8,H,0.0,-8.200000000002206,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DPM centre haut,9,I,0.9241322320194811,-2.5310554931479157,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DH centre haut,10,J,-0.5621208354618655,0.6955269123048412,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DZ centre haut,11,K,-0.6000000000057071,-9.29999999999609,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DPM haut droit,12,L,,-6.259680842767956,True
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DH haut droit,13,M,,-3.1394896829293195,True
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DZ haut droit,14,N,,-7.099999999994111,True
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DPM bas droit,15,O,-0.07892440504919662,-6.073850359010091,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DH bas droit,16,P,-1.250508224553748,-7.797329115098783,False
C:\Temp\1-tableaux\GGS\03_104-GGS_SMC_C003_PM001_25_07-29.xlsm,Déplacements,2025-07,DZ bas droit,17,Q,0.2999999999957481,3.299999999995862,False
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Déplacements,2025-07,DPM bas gauche,3,C,-0.16904154429386864,-5.282548086935179,False
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Déplacements,2025-07,DH bas gauche,4,D,0.3625258218376004,11.328931563292066,False
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Déplacements,2025-07,DZ bas gauche,5,E,0.30000000000995897,0.6000000000057071,False
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Déplacements,2025-07,DPM haut gauche,6,F,-0.42871449129133765,-1.0152470277846604,False
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Déplacements,2025-07,DH haut gauche,7,G,0.6827912822076065,8.684571094967009,False
C:\Temp\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_07_29.xlsm,Déplacements,2025-07,DZ haut gauche,8,H,-0.10000000000331966,-3.7999999999982492,False
