source_file;sheet;galerie;section;month;metric;periodic_mm;cumulative_mm;date_last_in_month;date_last_before_month;date_last_cumulative;nb_dates_in_month;nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm;Déplacements;GER;T92;2025-09;DPM bas gauche;-2.42;-2.2;10/09/2025;17/06/2025;10/09/2025;1;99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm;Déplacements;GER;T92;2025-09;DH bas gauche;-0.02;19.39;10/09/2025;17/06/2025;10/09/2025;1;99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm;Déplacements;GER;T92;2025-09;DZ bas gauche;1.1;5.5;10/09/2025;17/06/2025;10/09/2025;1;99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm;Déplacements;GER;T92;2025-09;DPM haut gauche;;-1.9;;27/05/2024;27/05/2024;1;99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm;Déplacements;GER;T92;2025-09;DH haut gauche;;14.01;;27/05/2024;27/05/2024;1;99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm;Déplacements;GER;T92;2025-09;DZ haut gauche;;-7.8;;27/05/2024;27/05/2024;1;99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm;Déplacements;GER;T92;2025-09;DPM centre haut;-2.88;-13.54;10/09/2025;17/06/2025;10/09/2025;1;99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm;Déplacements;GER;T92;2025-09;DH centre haut;-0.68;-2.67;10/09/2025;17/06/2025;10/09/2025;1;99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm;Déplacements;GER;T92;2025-09;DZ centre haut;-0.3;-53.4;10/09/2025;17/06/2025;10/09/2025;1;99
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_44-B-GER-SMC1-T92-PM_106-25-09-10.xlsm;Déplacements;GER;T92;2025-09;DPM haut droit;-3.08;-4.47;10/09/2025;17/06/2025;10/09/2025;1;99
