galerie;section;type;mode;BG;IG;HG;HD;ID;BD;LH;LI;LB;;BG;HG;HD;BD;LB
GGS;C003;Convergences;périodique;-0.7;;-0.2;;;-1.3;;;-0.3;;-0.7;-0.2;0.0;-1.3;-0.3
GGS;C003;Convergences;cumulé;-13.2;;-6.2;-4.0;;-16.4;-7.9;;-17.2;;-13.2;-6.2;-4.0;-16.4;-17.2
GGS;C007;Convergences;périodique;-1.1;;-0.1;;;-1.7;;;-1.1;;-1.1;-0.1;0.0;-1.7;-1.1
GGS;C007;Convergences;cumulé;-35.0;;-30.4;-9.7;;-8.0;-10.6;;-25.2;;-35.0;-30.4;-9.7;-8.0;-25.2
GGS;C020;Convergences;périodique;;-1.7;-1.3;;-3.3;;;-1.3;;;0.0;-1.3;0.0;0.0;0.0
GGS;C020;Convergences;cumulé;0.0;-36.2;-18.1;-35.0;-49.4;0.0;-19.9;-28.3;0.0;;0.0;-18.1;-35.0;0.0;0.0
GGS;C031;Convergences;périodique;;-4.1;-1.9;-2.6;-2.8;;-4.0;-8.9;;;0.0;-1.9;-2.6;0.0;0.0
GGS;C031;Convergences;cumulé;0.0;-15.7;-4.6;-8.0;-11.3;0.0;-11.4;-32.8;0.0;;0.0;-4.6;-8.0;0.0;0.0
GHA;C04;Convergences;périodique;-2.1;-1.4;-1.1;-0.7;-1.4;;-1.0;-1.0;;;-2.1;-1.1;-0.7;0.0;0.0
GHA;C04;Convergences;cumulé;-8.0;-52.6;-37.5;-31.9;-56.7;0.2;-29.6;-36.8;-2.9;;-8.0;-37.5;-31.9;0.2;-2.9
GHA;T15;Convergences;périodique;-1.5;-1.5;-1.0;0.0;-0.7;-1.0;-0.4;-1.3;-0.8;;-1.5;-1.0;0.0;-1.0;-0.8
GHA;T15;Convergences;cumulé;-18.8;-51.5;-37.1;-36.4;-78.3;-7.1;-30.2;-59.9;-0.8;;-18.8;-37.1;-36.4;-7.1;-0.8
GHA;T28;Convergences;périodique;-1.6;-1.2;-0.7;-0.7;-1.5;-2.0;-0.9;-1.4;-1.4;;-1.6;-0.7;-0.7;-2.0;-1.4
GHA;T28;Convergences;cumulé;-1.6;-37.1;-10.4;-32.6;-53.5;-2.0;-20.3;-63.1;-1.4;;-1.6;-10.4;-32.6;-2.0;-1.4
GHA;T41;Convergences;périodique;;;-0.3;-0.2;;;-0.3;;;;0.0;-0.3;-0.2;0.0;0.0
GHA;T41;Convergences;cumulé;0.0;-22.2;-11.1;-6.3;-18.8;0.0;-9.5;-28.5;0.0;;0.0;-11.1;-6.3;0.0;0.0
GVA;C105;Convergences;périodique;-1.7;;-1.7;-2.1;;;-0.8;;;;-1.7;-1.7;-2.1;0.0;0.0
GVA;C105;Convergences;cumulé;-11.7;;-44.9;-45.8;;-11.7;-24.1;;-6.0;;-11.7;-44.9;-45.8;-11.7;-6.0
