galerie,section,type,mode,DPM BG,DH BG,DZ BG,DPM IG,DH IG,DZ IG,DPM HG,DH HG,DZ HG,DPM CH,DH CH,DZ CH,DPM HD,DH HD,DZ HD,DPM ID,DH ID,DZ ID,DPM BD,DH BD,DZ BD,"DZ CH x2
(interpolé)",VITESSE EVOL DZ,DZ CH x2
GGS,C003,Déplacements,périodique,-1.26,-0.37,-0.3,,,,-1.61,-0.09,-0.8,-1.66,-0.22,-1.2,,,,,,,-1.58,-0.63,0.1,-2.4,,
GGS,C003,Déplacements,cumulé,-9.38,8.76,0.0,,,,-7.69,6.79,-9.0,-4.19,0.47,-10.5,-6.26,-3.14,-7.1,,,,-7.66,-8.43,3.4,-21.0,,
GGS,C007,Déplacements,périodique,-1.02,0.3,-0.1,,,,-1.03,-0.15,-0.5,-1.56,0.27,-1.5,,,,,,,-1.18,-0.77,-0.2,-3.0,,
GGS,C007,Déplacements,cumulé,-6.3,11.63,0.5,,,,-2.05,8.53,-4.3,-11.07,-17.08,-21.85,-3.13,-5.82,-7.18,,,,-2.6,-13.46,-8.2,-43.7,,
GGS,C020,Déplacements,périodique,,,,0.17,-0.36,-2.6,-0.7,0.67,-4.05,1.38,-0.13,-6.1,,,,0.67,-1.67,-2.8,,,,,,-12.2
GGS,C020,Déplacements,cumulé,0.0,0.0,0.0,-1.69,15.21,-10.6,-0.87,10.85,-13.3,15.51,6.02,-62.2,0.19,-9.4,-5.6,-0.53,-12.83,-6.9,0.0,0.0,0.0,,,-124.4
GGS,C031,Déplacements,périodique,,,,-0.64,5.88,-3.4,-0.37,2.69,-3.2,-1.94,1.08,-4.3,-1.06,-1.27,-3.2,-2.77,-3.06,-4.9,,,,,,-8.6
GGS,C031,Déplacements,cumulé,0.0,0.0,0.0,-1.56,18.25,-8.3,-0.33,4.26,-9.3,-5.09,0.27,-12.0,-1.18,-7.17,-8.8,-7.02,-14.53,-12.2,0.0,0.0,0.0,,,-24.0
GHA,C04,Déplacements,périodique,0.11,0.71,-0.2,0.72,0.23,-0.55,0.64,0.52,-1.1,1.11,-0.25,-2.1,0.33,-0.47,-0.7,0.02,-0.76,-0.6,,,,,,-4.2
GHA,C04,Déplacements,cumulé,-0.16,2.35,0.3,4.06,23.71,-13.63,6.58,26.46,-20.55,44.19,10.29,-77.6,4.88,-4.9,-31.05,4.51,-19.14,-14.05,1.88,-1.44,-4.3,,,-155.2
GHA,T15,Déplacements,périodique,0.92,0.24,-0.27,0.32,0.5,-0.4,0.75,0.05,-0.54,-0.03,-0.7,-1.35,0.42,-0.32,-0.48,0.26,-0.8,-0.5,0.12,-0.61,-0.1,,,-2.7
GHA,T15,Déplacements,cumulé,-0.9,1.34,0.3,-8.29,25.7,-25.05,-8.45,14.93,-17.3,-11.17,-1.13,-71.8,-0.88,-15.14,-12.25,-0.51,-34.39,7.25,-3.11,-2.86,1.35,,,-143.6
GHA,T28,Déplacements,périodique,-0.01,0.58,-0.33,-0.95,0.7,-0.57,-1.72,0.78,-1.4,-0.79,0.19,-1.8,-1.51,-0.15,-0.8,-1.36,-0.71,-0.6,-2.08,-0.82,-0.03,,,-3.6
GHA,T28,Déplacements,cumulé,-0.01,0.58,-0.33,2.24,32.42,-27.47,-0.46,7.77,-26.4,-7.86,6.6,-55.0,0.43,-12.82,-14.6,-1.19,-30.64,-16.2,-2.08,-0.82,-0.03,,,-110.0
GHA,T41,Déplacements,périodique,,,,,,,-0.71,0.33,-1.1,-1.16,0.12,-1.4,-1.56,0.04,-1.0,,,,,,,,,-2.8
GHA,T41,Déplacements,cumulé,0.0,0.0,0.0,3.16,15.93,-5.0,0.99,5.21,-10.4,-0.47,-2.31,-23.2,-1.19,-4.31,-8.2,-0.05,-13.38,-4.9,0.0,0.0,0.0,,,-46.4
GVA,C105,Déplacements,périodique,0.35,-0.28,-0.6,,,,-0.53,0.19,-0.5,-0.94,-0.11,-2.8,-0.6,-0.61,-0.2,,,,,,,-5.6,,
GVA,C105,Déplacements,cumulé,0.04,1.66,0.41,,,,-4.64,13.5,-0.2,-21.64,1.22,-56.3,-1.4,-13.56,2.4,,,,-0.05,-4.09,1.59,-112.6,,
