galerie;section;type;mode;DPM BG;DH BG;DZ BG;DPM IG;DH IG;DZ IG;DPM HG;DH HG;DZ HG;DPM CH;DH CH;DZ CH;DPM HD;DH HD;DZ HD;DPM ID;DH ID;DZ ID;DPM BD;DH BD;DZ BD;DZ CH x2;VITESSE EVOL DZ;DGRD4+ BD;DGRD4+ BG;DGRD4+ CH;DGRD4+ HD;DGRD4+ HG;DGVA+ BD;DGVA+ BG;DGVA+ CH;DGVA+ HG;DGGS+ BD;DGGS+ BG;DGGS+ CH;DGGS+ HG;DGRD6+ BD;DGRD6+ BG;DGRD6+ CH;DGRD6+ HD;DGRD6+ HG
GER;T109;Déplacements;périodique;0.05;0.36;0;;;;-0.04;0.31;-0.1;0.32;0.26;-0.4;0.54;0.25;0;;;;;;;;;;;;;;;;;;;;;;;;;;
GER;T109;Déplacements;cumulé;-2.56;18.69;-1.49;;;;-0.82;15.39;-5.46;-3.78;9.57;-43.29;-1.96;-9.69;-5.84;;;;-3.1;;2.33;;;;;;;;;;;;;;;;;;;;
GER;T131;Déplacements;périodique;-1;0.97;0.3;;;;-0.14;-0.18;0;-0.76;-0.02;-0.5;-0.5;-0.24;-0.1;;;;-1.21;;0;;;;;;;;;;;;;;;;;;;;
GER;T131;Déplacements;cumulé;2.27;20.29;3.8;;;;-0.87;15.12;-6.33;-3.94;2.46;-31.9;-1.94;-12.96;-6.9;;;;-4.29;;2.67;;;;;;;;;;;;;;;;;;;;
GER;T163;Déplacements;périodique;0.24;0.66;0.6;;;;1.3;0.05;-0.7;0.76;0.02;-0.2;-0.06;-0.21;0.1;;;;0.98;;0.6;;;;;;;;;;;;;;;;;;;;
GER;T163;Déplacements;cumulé;-0.18;9.85;2.9;;;;1.94;11.94;-7.52;-3.58;3.41;-37.5;-0.72;-9.57;-6.1;;;;-0.17;;-0.2;;;;;;;;;;;;;;;;;;;;
GER;T92;Déplacements;périodique;-2.42;-0.02;1.1;;;;;;;-2.88;-0.68;-0.3;-3.08;0.27;0.3;;;;-1.78;;0.7;;;;;;;;;;;;;;;;;;;;
GER;T92;Déplacements;cumulé;-2.2;19.39;5.5;;;;-1.9;14.01;-7.8;-13.54;-2.67;-53.4;-4.47;-16.69;-11.5;;;;-4.8;;4.1;;;;;;;;;;;;;;;;;;;;
GGS;C003;Déplacements;périodique;-0.2;0.9;0.3;;;;0.01;0.45;0.2;0.14;0.18;-0.5;;;;;;;0.42;0.53;0.2;;;;;;;;;;;;;;;;;;;;
GGS;C003;Déplacements;cumulé;-9.58;9.66;0.3;;;;-7.68;7.23;-8.8;-4.05;0.65;-11;-6.26;-3.14;-7.1;;;;-7.24;-7.9;3.6;;;;;;;;;;;;;;;;;;;;
